Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:14230000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
14230000;1;05/03/2024;01/01/1900 11:09;129;"1417,0";"617,0";"1717,0";"232,7";"0,36";"7,38";"Robson Azevedo, Marcus Barreto e Jonilson";4
14230000;1;05/10/2023;01/01/1900 08:56;128;"1471,0";"844,0";"1836,0";"238,3";"0,46";"7,7";Robson Oliveira/Geovani Xavier/Jonilson;4
14230000;1;14/06/2023;01/01/1900 15:10;127;"1903,0";"2475,0";"2493,0";"231,2";"0,993";"10,8";Robson Oliveira/Marcus Barreto;4
14230000;1;24/02/2023;01/01/1900 12:00;9999;"1731,0";"1700,0";"2537,0";"250,2";"0,671";"10,1";Daniel Garcia / Robson Oliveira / Marcus Barreto;4
14230000;1;24/02/2023;01/01/1900 12:00;126;"1731,0";"1700,0";"2537,0";"250,2";"0,671";"10,1";Daniel Garcia / Robson Oliveira / Marcus Barreto;4
14230000;1;03/10/2022;01/01/1900 00:58;125;"1436,0";"705,0";"2448,0";"238,1";"0,289";"10,3";"JEAN, RODOLFO, GEOVANI";4
14230000;1;07/11/2021;01/01/1900 08:00;124;"1705,0";"1588,0";"2621,0";"243,0";"0,61";"10,8";Jean Flávio/Robson Oliveira;16
14230000;2;01/12/2019;01/01/1900 10:54;123;"1520,0";"1020,0";"1490,0";"226,0";"0,685";"6,59";Pedro Dailson e Cassio;4
14230000;1;01/12/2019;01/01/1900 10:54;123;"1520,0";"1020,0";"1489,7";"226,0";"0,685";"6,59";Pedro Dailson e Cassio;4
14230000;2;21/07/2019;01/01/1900 10:30;122;"2045,0";"2970,0";"2870,0";"270,0";"1,03";"10,6";Guilherme e Fabio;4
14230000;1;21/07/2019;01/01/1900 10:30;122;"2045,0";"2970,0";"2873,0";"269,6";"1,03";"10,7";Guilherme e Fabio;4
14230000;2;09/05/2019;01/01/1900 17:00;121;"1929,0";"2810,0";"3000,0";"253,0";"0,937";"11,9";Manoelson e Diego;4
14230000;1;09/05/2019;01/01/1900 17:00;121;"1929,0";"2810,0";"3004,0";"252,8";"0,937";"11,9";Manoelson e Diego;4
14230000;2;09/02/2019;01/01/1900 10:00;120;"1610,0";"1350,0";"2160,0";"232,0";"0,624";"9,31";Daniel Garcia e Diego Brito;4
14230000;1;09/02/2019;01/01/1900 10:00;120;"1610,0";"1348,0";"2159,9";"231,6";"0,624";"9,33";Daniel Garcia e Diego Brito;4
14230000;2;19/11/2018;01/01/1900 07:10;119;"1506,0";"1010,0";"1970,0";"245,0";"0,512";"8,04";Daniel Garcia;4
14230000;1;19/11/2018;01/01/1900 07:10;119;"1506,0";"1008,0";"1969,7";"245,0";"0,512";"8,04";Daniel Garcia;4
14230000;2;07/07/2018;01/01/1900 09:05;118;"2175,0";"3820,0";"3410,0";"294,0";"1,12";"11,6";Guilherme / Marcus;4
14230000;1;07/07/2018;01/01/1900 09:05;118;"2175,0";"3820,0";"3408,6";"293,5";"1,12";"11,6";Guilherme / Marcus;4
