Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:14230000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
14230000;1;01/02/2024;;1;1;"994,0573";"400,6979";"648,0581";18;29;2;2;2;"0,0";0;"408,8614";"519,0485";"598,2839";"594,8004";"568,7837";"529,2759";"548,1118";"580,9007";"615,7516";"638,5836";"666,872";"666,872";"659,7808";"686,4375";"827,7575";"922,4346";"978,905";"994,0573";"935,5609";"864,6817";"787,4561";"706,0964";"642,1084";"577,4344";"508,8545";"465,0786";"460,0703";"440,1285";"400,6979";;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;;;;;2;;0;0
14230000;1;01/01/2024;;1;1;"1206,1573";"426,9167";"694,1309";1;31;2;2;2;"0,0";0;"1206,1573";"1135,9966";"1039,7441";"900,005";"769,2493";"631,5436";"537,8241";"493,6273";"450,081";"436,8192";"519,0485";"520,7507";"563,6038";"593,0599";"636,8224";"722,2492";"758,3594";"794,7586";"855,4255";"877,6681";"849,8798";"833,279";"813,0637";"765,6164";"733,0514";"631,5436";"580,9007";"519,0485";"481,8377";"440,1285";"426,9167";;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;2
14230000;1;01/12/2023;;1;1;"1186,5981";"283,3357";"693,9437";31;5;2;2;2;"0,0";0;"421,9796";"403,96";"350,7158";"319,0791";"283,3357";"325,3664";"294,1389";"872,0985";"789,2807";"778,3438";"729,4477";"659,7808";"638,5836";"617,503";"591,3203";"570,5121";"587,8437";"593,0599";"621,0082";"665,098";"711,4739";"756,547";"798,4141";"849,8798";"896,2757";"943,0754";"992,1611";"1039,7441";"1087,6927";"1137,9359";"1186,5981";;;;;;;;3;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2
14230000;1;01/11/2023;;1;1;"1110,835";"415,4119";"691,3879";13;28;2;2;2;"0,0";0;"650,9346";"586,1067";"534,4021";"503,7702";"491,9402";"498,6945";"505,464";"722,2492";"626,2722";"693,5755";"780,1648";"838,8065";"1110,835";"986,4763";"1014,9546";"1024,4772";"999,7493";"956,2498";"896,2757";"836,9633";"774,7038";"677,5324";"577,4344";"752,9242";"527,5691";"481,8377";"438,4733";"415,4119";"417,0522";"420,3361";;;3;3;3;;;;3;;;;;;;;;;;;;;;;;;;;;2;2;0
14230000;1;01/10/2023;;1;1;"1273,0516";"822,2422";"1082,06";31;5;2;2;2;"0,0";0;"958,1344";"969,4546";"918,69";"846,186";"822,2422";"862,8291";"924,3079";"935,5609";"1271,0756";"1219,8802";"1176,8386";"1139,8759";"1118,567";"1118,567";"1118,567";"1159,3054";"1241,497";"1124,3718";"1161,2513";"1147,6411";"1070,3898";"1081,92";"1011,1497";"973,2329";"960,0196";"1122,4363";"1188,5516";"1206,1573";"1208,1162";"1213,9958";"1273,0516";;;;;;;;;3;;;;;;;;;;;;;;;;;;;;2;;
14230000;1;01/09/2023;;1;1;"1245,4341";"643,872";"822,0177";1;25;2;2;2;;0;"1245,4341";"1116,633";"1001,6479";"892,5489";"813,0637";"743,8801";"704,3054";"670,4223";"656,2399";"688,2208";"756,547";"898,14";"937,4386";"892,5489";"816,7331";"758,3594";"794,7586";"853,5763";"857,2754";"825,9184";"781,9866";"742,0735";"688,2208";"652,7022";"643,872";"691,7898";"787,4561";"883,2435";"928,0564";"937,4386";;;;;;;;;;;;;;;;2;;2;;;;;;2;;;;;;;;0
14230000;1;01/08/2023;;1;1;"2452,495";"1384,5099";"2003,4156";1;31;2;2;2;;0;"2452,495";"2399,6829";"2320,8274";"2248,933";"2199,0498";"2199,0498";"2188,2305";"2188,2305";"2175,2588";"2151,5112";"2136,4216";"2136,4216";"2132,1138";"2123,502";"2071,9546";"2086,9673";"2140,7312";"2181,743";"2117,047";"2024,8896";"1912,2572";"1830,074";"1750,5853";"1704,8372";"1698,6146";"1744,335";"1698,6146";"1634,5378";"1574,9714";"1497,4852";"1384,5099";;;;;;;;;;;;;2;2;2;;2;;;;;;;;;;;;2;;
14230000;1;01/07/2023;;1;1;"2802,549";"1564,7388";"2245,7253";25;3;2;2;2;;0;"1628,3586";"1591,3666";"1564,7388";"1622,1835";"1655,1628";"1663,4248";"1748,5013";"1973,7532";"2108,4456";"2145,042";"2220,7153";"2292,4604";"2344,8755";"2351,4412";"2360,2002";"2349,2522";"2373,349";"2401,8796";"2408,4717";"2388,7046";"2331,7532";"2331,7532";"2532,069";"2730,5747";"2802,549";"2764,2737";"2728,3306";"2598,7014";"2565,3494";"2543,1545";"2496,6506";;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
14230000;1;01/06/2023;;1;1;"2540,9368";"1686,1807";"2192,8335";14;30;1;1;1;;0;"2235,902";"2091,26";"1948,2673";"1872,144";"1916,4879";"2027,025";"2136,4216";"2214,212";"2288,1016";"2275,0327";"2261,9768";"2415,0667";"2487,809";"2540,9368";"2529,853";"2527,6375";"2478,9727";"2428,2656";"2340,5";"2288,1016";"2229,3914";"2299,0015";"2331,7532";"2288,1016";"2179,5813";"2018,4856";"1872,144";"1813,2908";"1763,0969";"1686,1807";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14230000;1;01/05/2023;;1;1;"2496,6978";"1544,1261";"2081,166";19;7;2;2;2;"0,0";0;"2026,0269";"1976,8257";"1873,411";"1741,9279";"1648,0121";"1593,9084";"1544,1261";"1557,4854";"1655,7825";"1716,3484";"1865,3662";"2069,355";"2163,0598";"2211,4004";"2274,901";"2386,1526";"2435,8323";"2494,5166";"2496,6978";"2474,9116";"2433,6665";"2351,7627";"2262,1604";"2207,1848";"2110,858";"2046,6272";"2026,0269";"2131,6958";"2207,1848";"2298,3103";"2234,6252";;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2
14230000;1;01/04/2023;;1;1;"2249,4402";"1393,7775";"1888,1093";3;13;1;1;1;"0,0";0;"1899,6233";"2167,2515";"2249,4402";"2217,7275";"2102,5388";"1929,9948";"1751,7942";"1651,896";"1622,8295";"1599,6809";"1536,5068";"1451,524";"1393,7775";"1401,1917";"1508,0287";"1521,2999";"1823,2913";"1987,048";"2119,186";"2123,3538";"2085,9282";"2061,082";"2009,5887";"2067,286";"2184,0408";"2165,1555";"2036,3197";"1934,0544";"1999,3341";"2042,5024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14230000;1;01/03/2023;;1;1;"1799,3699";"670,6847";"1192,018";14;25;2;2;2;"0,0";0;"1555,575";"1474,0532";"1316,6013";"1144,9427";"1022,4281";"965,1593";"955,1498";"1019,0339";"1127,4532";"1178,3798";"1199,6364";"1282,0967";"1617,0336";"1799,3699";"1787,4425";"1673,3031";"1491,0138";"1338,5255";"1213,8665";"1129,1987";"1037,7416";"898,9872";"773,8456";"673,7036";"670,6847";"786,4364";"818,1612";"970,1751";"1169,5543";"1274,8654";"1588,1417";;2;;;;;;;;;;;;;2;2;;;;;;;;;;;2;;;;
14230000;1;01/02/2023;;1;1;"2142,8865";"402,3284";"1337,286";21;4;2;2;2;"0,0";0;"483,519";"445,1001";"407,2265";"402,3284";"433,5142";"475,1222";"530,9837";"614,0011";"706,0964";"946,8364";"1277,0052";"1521,884";"1585,2151";"1700,6884";"1740,1703";"1804,9088";"1788,1646";"1982,2607";"1986,5168";"2074,0981";"2142,8865";"2035,5703";"1903,8007";"1825,8759";"1765,1836";"1700,6884";"1609,845";"1554,5173";;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;0;0;0
14230000;1;01/01/2023;;1;1;"1303,8593";"593,5527";"1034,9209";13;31;2;2;2;"0,0";0;"918,7001";"894,0778";"1012,2548";"1063,4052";"1056,5444";"1042,8602";"1090,9727";"1178,3798";"1274,8654";"1046,2766";"1167,7915";"1244,261";"1303,8593";"1267,6456";"1201,4124";"1132,6921";"1059,9733";"998,7348";"955,1498";"950,156";"1049,696";"1120,4786";"1146,6958";"1176,6132";"1115,2556";"1015,6427";"902,2644";"780,1339";"691,8965";"630,3054";"593,5527";;;;;;;;;;;;;;;;;;;;;;;2;;;2;2;;;;
14230000;1;01/12/2022;;1;1;"1567,0475";"877,7676";"1033,0612";1;9;1;1;1;"0,0";0;"1567,0475";"1470,2916";"1371,6014";"1276,6721";"1158,9885";"1137,9377";"1034,3331";"938,5324";"877,7676";"941,8494";"988,6284";"951,8198";"950,156";"998,7348";"1034,3331";"1034,3331";"997,0484";"1034,3331";"1089,2439";"1020,7306";"960,1509";"933,5632";"923,6471";"917,0528";"913,7607";"918,7001";"918,7001";"917,0528";"921,9973";"918,7001";"907,1863";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
