Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:8167000


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
8167000;1;01/02/2024;1;"34,9";"227,6";15;16;1;1;1;;0;"0,0";"9,1";"30,2";"20,1";"10,9";"8,9";"22,8";"0,2";"8,2";"0,0";"0,9";"6,4";"0,0";"22,2";"34,9";"0,3";"4,4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"34,1";"14,0";"0,0";"0,0";;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
8167000;1;01/01/2024;1;"59,9";"153,5";7;15;1;1;1;;0;"0,1";"0,0";"0,0";"0,0";"0,0";"0,5";"59,9";"5,9";"13,5";"2,4";"27,2";"0,0";"3,0";"14,1";"0,0";"2,3";"0,0";"18,9";"0,9";"0,0";"0,1";"2,8";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,9";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8167000;1;01/12/2023;1;"56,0";"264,6";13;;3;3;3;;0;"0,0";"0,0";"7,2";"0,0";"9,6";"0,6";"0,0";"50,0";"7,3";"0,0";"0,0";"50,0";"56,0";"0,0";"34,0";"7,6";"0,0";;;;;;;;;;;;;;"42,3";1;1;1;1;1;1;1;3;1;1;1;3;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
8167000;1;01/11/2023;1;"69,9";"218,4";27;;1;1;0;;0;"10,5";"0,3";"0,0";"0,0";"17,4";"0,2";"0,0";"5,6";"0,0";"1,6";"0,0";"0,0";"29,9";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"6,2";"0,6";"0,0";"4,0";"7,3";"43,3";"8,3";"69,9";;;"13,3";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;4;0
8167000;1;01/10/2023;1;"70,0";"210,1";16;14;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,3";"0,2";"0,0";"36,0";"0,3";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"70,0";"0,0";"5,6";"55,7";"0,0";"2,0";"6,0";"9,2";"20,2";"0,0";"2,3";"0,3";"0,0";"0,0";"2,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8167000;1;01/09/2023;1;"31,3";"176,6";17;15;1;1;1;;0;"0,0";"1,0";"0,0";"11,2";"16,7";"0,0";"0,0";"22,8";"0,3";"1,4";"0,7";"10,3";"0,3";"22,2";"0,0";"0,0";"31,3";"0,0";"20,9";"0,0";"20,9";"0,0";"0,0";"16,4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,2";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
8167000;1;01/08/2023;1;"23,6";"111,4";10;19;1;1;1;;0;"20,3";"1,6";"2,8";"0,6";"7,4";"7,2";"0,0";"0,0";"2,6";"23,6";"11,3";"0,0";"0,0";"0,4";"2,6";"5,5";"2,4";"2,3";"0,0";"0,2";"0,0";"0,0";"0,0";"0,0";"3,0";"0,0";"0,0";"3,1";"11,3";"3,2";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8167000;1;01/07/2023;1;"50,0";"259,7";22;23;1;1;1;;0;"0,0";"0,0";"0,0";"8,9";"1,4";"0,5";"22,3";"12,3";"0,0";"0,0";"6,7";"0,0";"13,0";"0,0";"30,7";"13,5";"7,9";"3,5";"2,7";"0,3";"0,0";"50,0";"14,7";"10,1";"8,5";"8,3";"9,3";"1,6";"18,3";"14,6";"0,6";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8167000;1;01/06/2023;1;"49,7";"253,4";5;;1;1;0;;0;"0,0";"0,0";"0,9";"0,0";"49,7";"13,6";"44,3";"10,3";"7,9";"0,0";"22,7";"7,1";"8,0";"10,9";"1,1";"0,0";"0,6";"0,9";"22,7";"0,0";"9,0";"25,7";;"12,6";"0,0";"0,0";"0,0";"2,4";"3,0";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;4;1;1;1;1;1;1;0
8167000;1;01/05/2023;1;"57,7";"311,5";28;21;1;1;1;;0;"2,0";"0,0";"28,3";"4,3";"10,9";"0,0";"0,0";"12,5";"27,4";"7,1";"14,5";"0,0";"11,3";"38,5";"6,1";"24,0";"0,0";"18,9";"0,0";"0,0";"26,2";"0,0";"4,7";"2,2";"0,2";"3,3";"10,0";"57,7";"0,0";"1,4";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
