Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoSecao: 1 = Régua, 2 = Medição

Restrições da consulta:
Código da Estação:14220000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumLevantamento;TipoSecao;NumVerticais;DistanciaPIPF;EixoXDistMaxima;EixoXDistMinima;EixoYCotaMaxima;EixoYCotaMinima;ElmGeomPassoCota;Observacoes;Vertical
14220000;1;31/03/2008;01/01/1900 13:30;20;2;64;"121,6";"121,6";"0,0";"1000,0";"0,0";"10,0";;"2,55,41|6,16,734|14,55,278|10,55,445|16,55,249|7,85,664|34,55,16|18,55,217|30,55,55|7,95,594|5,55,886|0,895|8,71,574|28,55,79|22,55,150|8,85,510|20,55,196|54,55,100|62,55,128|68,55,135|100,55,212|92,55,228|40,55,49|50,55,39|96,55,229|104,55,198|86,55,224|78,55,184|70,55,148|88,55,231|80,55,192|36,55,19|46,55,57|48,55,58|106,55,192|52,55,68|98,55,219|44,55,41|60,55,116|90,55,239|94,55,234|82,55,190|108,55,196|102,55,205|76,55,172|64,55,127|38,55,9|110,55,195|84,55,220|42,55,66|72,55,151|66,55,124|56,55,112|74,55,162|58,55,110|12,55,362|26,55,90|120,55,510|121,6,730|118,55,414|121,55,619|112,55,215|114,55,299|116,55,324|"
14220000;1;10/09/2006;01/01/1900 16:55;19;2;63;"121,6";"121,6";"0,0";"1000,0";"0,0";"10,0";"o N, A, do rio é 639cm,";"14,64,344|106,64,127|92,64,308|108,64,166|121,6,733|82,64,308|78,64,288|76,64,274|116,64,469|90,64,296|88,64,299|112,64,224|120,3,639|100,64,220|74,64,272|98,64,244|96,64,259|120,9,708|68,64,214|94,64,274|102,64,196|70,64,224|104,64,147|80,64,299|84,64,309|72,64,243|110,64,162|86,64,302|66,64,200|7,64,639|50,64,77|26,64,79|16,64,271|14,64,295|12,64,334|9,64,573|30,64,32|38,64,16|60,64,158|62,64,171|36,64,10|54,64,81|28,64,60|20,64,178|4,74,893|48,64,80|58,64,146|7,14,677|18,64,220|44,64,74|24,64,92|6,34,700|32,64,14|40,64,46|5,74,824|22,64,163|0,894|46,44,82|34,64,14|56,64,124|64,64,179|6,04,730|42,64,48|"
14220000;1;08/09/2005;01/01/1900 12:30;18;2;64;"121,6";"121,6";;;;"10,0"; ;",42,452|50,42,80|10,42,354|70,42,179|108,42,170|90,42,199|36,42,12|106,42,144|92,42,193|16,42,229|24,42,89|102,42,140|28,42,51|66,42,147|58,42,91|30,42,30|64,42,138|98,42,176|112,42,189|88,42,219|26,42,80|5,3,848|120,42,641|32,42,8|54,42,90|82,42,205|110,42,183|84,42,233|60,42,106|42,42,21|96,42,194|44,42,35|0,892|4,3,880|48,42,71|38,42,5|94,42,196|22,42,159|62,42,122|76,42,180|74,42,181|46,42,67|120,92,711|5,8,679|119,92,541|121,6,734|14,42,264|80,42,188|40,42,45|116,42,484|34,42,11|72,42,183|18,42,187|104,42,126|12,42,297|100,42,168|6,72,541|68,42,168|52,42,100|56,42,82|20,42,137|114,42,291|78,42,187|86,42,235|"
14220000;1;08/10/2003;01/01/1900 14:20;17;2;62;"121,6";"121,6";"0,0";"888,0";"6,0";"10,0";;"6,35,86|76,35,226|5,1,882|46,35,56|90,35,253|28,35,69|110,35,183|56,35,126|88,35,249|36,35,12|42,35,64|78,35,235|98,35,240|94,35,246|66,35,196|6,1,849|10,35,462|80,35,240|38,35,6|16,35,310|74,35,216|100,35,240|50,35,92|72,35,199|68,35,196|104,35,241|20,35,154|24,35,102|108,35,209|106,35,226|102,35,242|70,35,187|54,35,124|82,35,240|58,35,137|114,35,219|63,35,191|121,6,731|7,1,679|48,35,76|14,35,349|112,35,178|44,35,34|96,35,247|7,6,656|92,35,252|34,35,7|60,35,150|22,35,116|30,35,45|116,35,300|32,35,20|84,35,241|52,35,111|86,35,241|0,888|62,35,172|18,35,208|120,35,656|12,35,416|40,35,30|118,35,441|"
14220000;1;28/10/2002;01/01/1900 07:00;16;2;73;"120,7";"120,7";"0,0";"888,0";"-7,0";"10,0";;"13,86,197|101,86,227|55,86,55|75,86,184|71,86,175|14,86,309|25,86,81|3,86,883|83,86,209|47,86,37|79,86,196|24,86,79|27,86,59|10,86,555|63,86,115|6,86,787|22,86,163|51,86,21|89,86,211|39,86,-7|16,86,241|8,86,587|35,86,-5|67,86,138|31,86,5|43,86,17|20,86,194|18,86,199|12,86,402|85,86,207|59,86,83|120,2,667|97,86,229|117,86,356|109,86,157|93,86,225|105,86,210|53,86,45|91,86,212|115,86,259|37,86,-4|103,86,230|9,86,571|17,86,205|111,86,174|15,86,277|41,86,5|81,86,201|13,86,313|26,86,70|7,86,667|29,86,41|99,86,227|119,86,536|21,86,160|95,86,225|107,86,183|33,86,-4|65,86,113|57,86,85|77,86,183|0,888|73,86,177|45,86,11|61,86,102|19,86,192|87,86,203|23,86,127|5,86,880|11,86,431|120,7,712|69,86,158|49,86,18|"
14220000;1;19/04/2002;01/01/1900 09:37;15;2;65;"120,7";"120,7";"0,0";"889,0";"0,0";"10,0";;"1,9,141|119,4,509|27,9,83|61,9,115|73,9,160|51,9,39|15,9,343|57,9,88|31,9,44|23,9,135|77,9,157|85,9,145|69,9,122|105,9,180|33,9,25|63,9,126|111,9,197|55,9,76|17,9,345|6,5,879|2,5,887|29,9,64|95,9,184|120,4,683|11,5,447|67,9,111|79,9,157|47,9,58|53,9,52|115,9,350|59,9,105|49,9,63|101,9,186|21,9,169|39,9,35|37,9,24|97,9,201|75,9,158|10,5,473|19,9,257|43,9,49|91,9,152|81,9,157|45,9,53|7,5,664|120,7,719|87,9,141|41,9,46|103,9,183|8,5,600|89,9,138|118,9,479|109,9,194|35,9,24|0,889|107,9,187|83,9,151|117,9,425|99,9,193|113,9,201|13,9,342|65,9,129|9,5,509|25,9,102|93,9,167|"
14220000;1;01/12/2000;01/01/1900 11:00;14;2;68;"120,7";"120,7";"0,0";"892,0";"7,0";"10,0";;"17,7,446|100,291|116,237|92,265|80,226|96,275|120,7,729|84,237|108,221|112,156|88,251|50,72|0,893|24,112|26,95|72,184|2,892|104,281|76,208|90,264|119,7,566|114,156|106,253|102,297|118,7,517|98,280|117,3,408|32,47|48,50|40,7|20,208|52,96|16,300|28,78|56,131|36,7|62,136|78,207|86,248|66,156|82,232|70,186|60,122|38,15|94,268|58,131|9,606|110,173|64,146|18,227|30,77|11,463|22,131|54,127|74,197|68,163|7,3,700|42,7|4,890|12,6,408|44,44|46,42|34,25|10,499|12,423|8,683|6,8,879|6,883|"
14220000;1;22/11/1999;01/01/1900 07:00;13;2;69;"120,7";"120,7";"0,0";"900,0";"5,0";"10,0";;",6,678|16,6,309|19,6,170|9,6,600|12,6,415|10,6,473|35,6,5|27,6,83|119,3,583|61,6,120|9,8,495|25,6,98|13,6,379|65,6,137|29,6,72|87,6,213|31,6,37|105,6,258|91,6,235|6,6,878|37,6,11|21,6,163|99,6,258|8,6,625|43,6,29|109,6,235|113,6,149|17,6,273|57,6,113|47,6,72|118,3,504|0,889|83,6,205|15,6,331|51,6,97|101,6,258|11,6,437|95,6,241|85,6,207|77,6,161|81,6,189|73,6,147|93,6,240|103,6,256|107,6,249|89,6,222|97,6,250|79,6,178|71,6,146|75,6,142|119,8,668|2,6,886|14,6,361|63,6,134|67,6,145|59,6,117|53,6,114|69,6,139|120,7,727|111,6,201|117,3,415|41,6,12|29,6,5|33,6,17|49,6,102|45,6,39|114,6,181|23,6,107|115,6,250|"
14220000;1;04/09/1997;01/01/1900 07:00;11;2;71;"120,7";"120,7";"0,0";"783,0";"-7,0";"10,0";;"7,3,61|41,3,21|69,3,213|57,3,147|37,3,8|43,3,28|14,3,330|27,3,64|16,3,276|2,3,783|12,3,423|18,3,219|9,3,628|7,3,697|15,3,297|6,3,782|21,3,122|28,3,58|20,3,130|10,3,453|26,3,66|0,783|19,3,161|24,3,95|11,3,448|29,3,57|17,3,266|13,3,410|25,3,74|23,3,99|22,3,122|8,3,611|30,3,43|61,3,150|103,3,195|115,3,200|93,3,244|71,3,240|95,3,248|53,3,121|39,3,-7|34,3,8|67,3,186|31,3,35|32,3,34|35,3,4|49,3,88|63,3,152|91,3,248|59,3,139|120,3,686|111,3,160|120,7,723|89,3,260|119,3,628|33,3,13|65,3,169|107,3,184|77,3,231|55,3,138|87,3,253|51,3,112|81,3,236|85,3,251|83,3,244|97,3,226|73,3,236|79,3,232|45,3,32|99,3,218|75,3,223|"
14220000;1;05/12/1992;01/01/1900 07:00;10;2;62;"120,7";"120,7";"0,0";"885,0";"4,0";"10,0";PI ME ; PF MD ; (NA do levantamento = 639 cm);"4,3,374|76,3,162|26,3,95|48,3,62|64,3,127|34,3,12|36,3,4|30,3,52|40,3,16|18,3,245|44,3,55|22,3,118|72,3,164|68,3,115|60,3,120|56,3,85|80,3,163|52,3,94|0,885|116,3,247|120,7,725|24,3,111|120,1,691|106,3,159|94,3,191|98,3,178|112,3,165|108,3,166|119,1,639|100,3,184|32,3,34|110,3,169|92,3,197|90,3,190|12,3,451|118,3,569|16,3,315|58,3,102|42,3,20|46,3,65|70,3,148|8,5,874|104,3,176|84,3,188|10,5,639|62,3,133|114,3,184|28,3,77|4,5,886|102,3,188|74,3,162|78,3,176|88,3,194|9,5,798|20,3,150|50,3,78|38,3,5|82,3,176|86,3,193|96,3,188|66,3,134|54,3,85|"
