Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:14220000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
14220000;1;01/10/2008;;1;1;"402,12";"199,2";"288,21194";31;8;0;0;1;;0;"226,56";"224,04";"221,52";"218,28";"213,6";"208,92";"204,24";"201,72";"221,88";"248,67";"256,47";"258,42";"262,71";"266,22";"259,98";"278,44";"300,88";"309,68";"309,24";"306,6";"308,8";"332,16";"348,72";"356,54";"352,86";"350,56";"354,7";"361,32";"381,0";"389,16";"400,68";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14220000;1;01/09/2008;;1;1;"301,32";"229,56";"265,35535";1;30;0;0;1;;0;"300,44";"298,68";"298,68";"295,16";"291,64";"289,0";"285,04";"282,4";"280,2";"276,68";"274,04";"270,52";"267,0";"264,66";"261,54";"258,42";"255,69";"254,13";"253,35";"255,69";"256,47";"255,3";"252,18";"249,84";"246,72";"243,6";"240,48";"238,14";"234,24";"230,73";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14220000;1;01/08/2008;;1;1;"462,2";"302,2";"398,11356";2;31;0;0;1;;0;"461,74";"462,2";"459,9";"453,92";"447,24";"442,44";"435,24";"430,92";"427,08";"423,72";"421,32";"416,04";"409,32";"402,12";"396,36";"390,6";"393,48";"389,16";"390,12";"394,44";"391,56";"387,72";"386,76";"383,4";"377,64";"364,2";"346,88";"329,86";"315,14";"307,92";"303,08";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14220000;1;01/07/2008;;1;1;"490,72";"357,96";"438,05032";18;1;2;2;2;;0;"363,72";"383,88";"409,8";"419,4";"425,16";"429,96";"434,76";"436,68";"436,68";"429,96";"423,24";"423,24";"431,88";"441,48";"456,68";"475,08";"487,04";"490,72";"486,12";"473,24";"459,44";"440,52";"424,2";"427,08";"424,2";"421,32";"426,12";"430,92";"447,24";"457,6";"462,2";2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14220000;1;01/06/2008;;1;1;"401,16";"279,32";"326,922";1;21;0;0;1;;0;"399,72";"393,96";"383,4";"374,28";"361,8";"358,44";"351,48";"348,26";"344,12";"333,08";"326,64";"322,5";"317,9";"313,3";"308,36";"296,92";"292,08";"288,12";"284,6";"281,08";"282,4";"291,2";"294,72";"300,0";"304,84";"308,8";"322,96";"332,16";"341,82";"348,72";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14220000;1;01/05/2008;;1;1;"464,04";"385,8";"432,5974";22;1;0;0;1;;0;"389,16";"399,72";"405,96";"415,56";"425,16";"432,36";"441,96";"450,12";"454,38";"456,22";"452,04";"437,16";"429,96";"423,72";"418,92";"420,84";"427,56";"437,64";"445,8";"451,56";"458,98";"463,12";"461,74";"451,08";"441,0";"432,84";"425,16";"421,32";"417,48";"413,16";"408,84";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14220000;1;01/04/2008;;1;1;"376,2";"231,12";"300,821";30;3;0;0;1;;0;"242,82";"238,92";"233,46";"233,46";"241,65";"247,5";"253,74";"259,98";"265,44";"273,6";"279,32";"288,12";"292,96";"299,12";"304,84";"311,0";"318,36";"324,8";"330,32";"329,86";"325,72";"322,5";"324,8";"334,46";"342,28";"348,26";"355,62";"361,8";"365,16";"374,76";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14220000;1;01/03/2008;;1;1;"267,0";"195,6";"230,88194";2;18;0;0;1;;0;"264,66";"267,0";"264,66";"257,25";"250,23";"243,99";"238,92";"232,68";"221,88";"216,48";"206,76";"204,96";"208,2";"213,96";"212,16";"206,4";"198,48";"196,32";"199,92";"207,12";"213,24";"219,0";"223,32";"231,51";"237,75";"243,6";"251,79";"258,81";"259,98";"255,69";"250,62";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14220000;1;01/02/2008;;1;1;"266,22";"196,32";"222,27414";29;18;0;0;1;;0;"243,21";"239,31";"234,24";"230,34";"220,44";"215,04";"208,92";"204,6";"203,16";"207,48";"214,32";"219,36";"221,88";"219,0";"212,88";"204,6";"199,56";"196,68";"198,48";"206,04";"214,68";"219,72";"225,84";"231,51";"236,58";"243,99";"251,4";"258,03";"264,66";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
14220000;1;01/01/2008;;1;1;"306,6";"217,92";"267,97388";16;4;0;0;1;;0;"255,3";"239,31";"222,6";"219,0";"231,51";"256,08";"278,0";"294,72";"296,04";"292,08";"278,0";"260,76";"254,13";"275,8";"299,56";"306,16";"300,0";"291,64";"286,36";"279,76";"271,84";"260,37";"260,76";"257,25";"261,54";"265,05";"271,4";"269,64";"265,05";"258,03";"249,45";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
