Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:8167003


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
8167003;1;01/12/1980;1;"38,6";"139,2";30;16;1;1;1;;0;"0,0";"0,0";"0,4";"0,0";"8,3";"2,7";"0,9";"0,6";"1,7";"0,0";"1,6";"0,0";;"0,7";"2,1";"9,4";"0,0";"0,0";"0,0";"0,0";"0,0";;"0,6";"0,7";"0,0";;"8,3";"35,5";"27,1";"38,6";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;0;4;1;1;0;4;1;1;1;1
8167003;1;01/11/1980;1;"39,1";"190,9";25;14;1;1;1;;0;"0,0";"2,5";"0,0";"0,9";"0,0";;"4,2";"0,0";;"0,0";;;"0,0";"0,0";;;"16,2";"0,0";;"17,6";"10,6";"22,8";"2,8";"14,7";"39,1";"0,6";"30,9";"0,0";"16,3";"11,7";;1;1;1;1;1;0;4;1;0;4;0;0;4;1;0;0;4;1;0;4;1;1;1;1;1;1;1;1;1;1;0
8167003;1;01/10/1980;1;"62,7";"218,8";27;16;1;1;1;;0;"0,6";"0,0";"30,7";"0,0";"0,0";"4,8";"7,8";"0,0";"0,0";"0,0";"0,7";"0,6";"0,0";"0,0";"0,7";"56,4";"14,3";"0,0";"0,0";"0,4";"0,0";;"29,3";"3,2";"1,3";;"62,7";"2,6";"0,0";"2,7";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;4;1;1;0;4;1;1;1;1
8167003;1;01/09/1980;1;"53,2";"303,9";24;15;1;1;1;;0;"40,6";"3,7";"0,0";"35,7";"0,0";"13,2";;"14,7";"0,0";"0,0";"0,0";"0,9";"17,0";"0,0";"0,6";"16,5";"0,0";"1,9";"11,6";"0,0";"0,0";"9,3";;"53,2";"0,0";"49,7";"35,3";"0,0";;"0,0";;1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;4;1;1;1;1;0;4;0
8167003;1;01/08/1980;1;"47,3";"161,7";18;17;1;1;1;;0;"7,4";"13,6";"7,9";"0,0";"0,0";"0,0";"0,0";"4,6";"0,0";"0,0";"10,4";"8,9";"5,3";"0,0";"12,5";"0,6";"0,0";"47,3";"1,7";"0,0";"16,9";"0,0";"12,9";"0,6";"0,0";;"7,6";"1,6";"0,0";"1,9";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;4;1;1;1;1
8167003;1;01/07/1980;1;"43,6";"214,2";23;17;1;1;1;;0;;"3,7";"2,9";;;;"2,4";"0,0";"7,2";;"22,2";"0,0";"2,5";"0,0";"0,0";"2,6";"3,2";"0,0";"11,6";"0,0";"3,2";;"43,6";"34,2";"34,9";"20,3";"2,3";"0,0";"11,8";"5,6";"0,0";0;4;1;0;0;0;4;1;1;0;4;1;1;1;1;1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;1
8167003;1;01/06/1980;1;"73,8";"162,5";17;12;1;1;1;;0;"0,0";"3,7";"1,4";"0,0";"0,4";;"28,5";"0,0";"0,0";;;;;"4,1";"1,7";"2,7";"73,8";;"5,4";"0,0";;;;"14,7";"0,0";;"0,0";"24,8";;"1,3";;1;1;1;1;1;0;4;1;1;0;0;0;0;4;1;1;1;0;4;1;0;0;0;4;1;0;4;1;0;4;0
8167003;1;01/05/1980;1;"51,1";"264,7";8;22;1;1;1;;0;"0,7";"11,3";"29,7";"2,9";"22,9";"24,8";;"51,1";"0,0";"0,0";"0,0";"1,3";"0,0";"0,9";"28,6";"10,4";;"6,8";"5,7";"0,6";"5,2";"19,7";"0,9";"34,7";"0,0";"1,3";"1,1";"3,4";"0,0";"0,0";"0,7";1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1
8167003;1;01/04/1980;1;"26,8";"140,7";9;20;1;1;1;;0;"10,7";"15,5";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"26,8";"8,1";"0,0";"2,1";"1,1";"12,7";"1,7";"3,9";"1,3";"0,0";"8,3";"2,6";"4,1";"1,3";"0,7";"11,6";"0,6";;"1,3";"16,9";"9,4";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;4;1;1;1;0
8167003;1;01/03/1980;1;"48,6";"207,5";16;21;1;1;1;;0;"0,0";"0,0";"16,8";"0,0";;;"0,0";"0,0";"1,6";"2,6";"1,9";"3,6";;"2,3";"3,4";"48,6";"2,7";"0,0";"11,6";"0,7";"2,7";"19,4";"17,6";"0,0";"3,9";"4,7";"7,6";"19,1";"1,6";"28,7";"6,4";1;1;1;1;0;0;4;1;1;1;1;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
