Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:14215000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
14215000;1;03/03/2024;01/01/1900 13:27;25;"284,0";"39,6";"116,4";"63,4";"0,34";"1,83";Robson Azevedo e Marcus Barreto;4
14215000;1;29/05/2023;01/01/1900 14:30;24;"774,0";"341,0";"451,2";"73,6";"0,756";"6,14";Daniel Garcia/Robson Oliveira/Marcus Barreto;4
14215000;1;10/03/2023;01/01/1900 11:00;9999;"597,0";"193,0";"326,0";"70,7";"0,59";"4,62";Daniel Garcia / Robson Azevedo / Marcus Barreto;4
14215000;1;10/03/2023;01/01/1900 11:00;23;"597,0";"193,0";"326,0";"70,7";"0,59";"4,62";Daniel Garcia / Robson Azevedo / Marcus Barreto;4
14215000;2;28/11/2018;01/01/1900 11:40;22;"718,0";"302,0";"394,0";"71,9";"0,768";"5,48";Daniel Garcia;4
14215000;1;28/11/2018;01/01/1900 11:40;22;"718,0";"302,0";"393,6";"71,9";"0,768";"5,48";Daniel Garcia;4
14215000;2;16/07/2018;01/01/1900 10:30;21;"828,0";"325,0";"462,0";"68,2";"0,705";"6,78";Guilherme / Marcus;4
14215000;1;16/07/2018;01/01/1900 10:30;21;"828,0";"325,0";"461,8";"68,2";"0,705";"6,78";Guilherme / Marcus;4
14215000;2;04/05/2018;01/01/1900 10:20;20;"826,0";"293,0";"523,0";"70,5";"0,561";"7,42";Daniel Garcia / Guilherme Costa;4
14215000;1;04/05/2018;01/01/1900 10:20;20;"926,0";"293,0";"523,3";"70,5";"0,561";"7,42";Daniel Garcia / Guilherme Costa;4
