Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:14215000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
14215000;1;01/02/2024;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14215000;1;01/01/2024;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14215000;1;01/12/2023;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14215000;1;01/11/2023;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;"194,6704";"199,7726";"202,202";;;;;"248,9875";;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14215000;1;01/10/2023;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14215000;1;01/09/2023;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;;;;;;;;;;"203,8261";"215,2942";"218,05";"204,9108";"198,6954";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0
14215000;1;01/08/2023;;1;1;;;;;;0;0;0;"0,0";0;"290,2413";"285,4732";"284,5817";"285,7706";"294,731";"301,0484";"306,4925";"311,3542";"312,8778";"313,4878";"313,1828";"315,0143";"314,7088";"312,2681";"310,7454";"307,0991";"300,1437";"294,1313";"284,5817";"276,2974";"267,7888";"248,7012";"234,2218";"220,5384";"213,6453";"211,1786";"208,4471";"201,9317";"178,0169";"150,2027";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14215000;1;01/07/2023;;1;1;"339,4001";"225,8173";"311,4613";17;1;1;1;1;"0,0";0;"225,8173";"248,1289";"266,3292";"280,4311";"283,6908";"318,3797";"331,9389";"334,7315";"334,1104";"333,4896";"333,8";"331,9389";"334,4209";"338,465";"337,5306";"337,5306";"339,4001";"335,0422";"333,4896";"329,4621";"322,0622";"313,4878";"293,2323";"297,434";"303,7671";"306,1894";"305,5833";"303,7671";"303,4647";"301,652";"296,5322";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14215000;1;01/06/2023;;1;1;"313,1828";"224,9815";"279,7991";3;30;1;1;1;"0,0";0;"303,1624";"303,1624";"313,1828";"310,4411";"304,9776";"299,8423";"296,2318";"295,031";"292,0349";"284,5817";"274,8252";"261,9638";"246,6998";"233,9403";"228,3297";"242,9946";"266,621";"284,8788";"294,4311";"304,9776";"310,4411";"307,4025";"305,5833";"294,731";"294,1313";"283,3941";"262,5447";"237,3245";"231,1303";"224,9815";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14215000;1;01/05/2023;;1;1;"296,2318";"139,1082";"235,378";31;9;2;2;2;"0,0";0;"161,7819";"167,4026";"185,896";"200,5815";"198,6954";"187,7479";"165,3526";"145,4898";"139,1082";"191,9998";"251,2811";"247,557";"219,4315";"215,8446";"226,3749";"244,133";"256,7515";"264,8719";"270,1287";"269,5432";"268,958";"267,2047";"271,5939";"274,531";"274,531";"277,4767";"282,8008";"288,4507";"292,3341";"292,6335";"296,2318";;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;;;
