Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:8168000


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
8168000;1;01/12/2023;1;"46,4";"228,3";8;27;1;1;1;;0;"0,1";"0,2";"6,8";"1,3";"26,7";"0,8";"0,5";"46,4";"7,4";"0,4";"6,3";"0,6";"0,2";"1,2";"20,2";"13,4";"0,3";"9,8";"0,8";"0,0";"0,0";"4,0";"0,0";"10,3";"0,2";"0,0";"16,6";"40,3";"0,3";"12,9";"0,3";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8168000;1;01/11/2023;1;"35,9";"183,5";26;20;1;1;1;;0;"0,0";"0,3";"0,0";"0,0";"1,0";"3,7";"35,7";"0,2";"10,3";"16,7";"0,2";"23,0";"0,2";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"8,5";"0,0";"8,6";"1,6";"6,5";"25,2";"35,9";"1,7";"0,9";"0,4";"2,9";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
8168000;1;01/10/2023;1;"41,7";"122,3";18;13;1;1;1;;0;"14,2";"0,0";"0,0";"0,0";"0,0";"0,0";"5,4";"0,0";"0,0";"0,3";"3,7";"0,0";"0,7";"0,0";"22,3";"0,0";"0,0";"41,7";"0,0";"0,0";"1,3";"6,8";"0,0";"0,2";"23,2";"0,6";"0,0";"1,9";"0,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8168000;1;01/09/2023;1;"56,3";"232,8";17;15;1;1;1;;0;"0,0";"0,4";"0,9";"11,2";"0,0";"22,3";"13,4";"27,2";"5,3";"16,4";"31,4";"0,0";"13,2";"0,0";"0,0";"0,0";"56,3";"0,0";"0,0";"0,0";"0,0";"0,3";"0,0";"5,5";"28,8";"0,0";"0,0";"0,0";"0,0";"0,2";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
8168000;1;01/08/2023;1;"39,3";"213,1";16;23;1;1;1;;0;"11,7";"0,9";"11,4";"0,4";"22,5";"1,9";"27,4";"0,0";"0,6";"5,2";"0,1";"4,1";"16,1";"0,0";"1,7";"39,3";"0,2";"2,0";"5,7";"0,0";"7,9";"20,6";"0,0";"14,4";"0,6";"0,0";"0,0";"16,0";"0,0";"2,4";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8168000;1;01/07/2023;1;"61,2";"378,5";7;30;1;1;1;;0;"2,4";"18,6";"5,2";"13,3";"0,5";"40,3";"61,2";"8,6";"0,3";"0,4";"36,7";"2,7";"2,0";"0,2";"15,3";"1,7";"32,4";"28,2";"10,5";"0,1";"3,4";"52,8";"11,1";"6,1";"1,3";"0,0";"0,1";"4,1";"3,6";"13,6";"1,8";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8168000;1;01/06/2023;1;"39,0";"192,2";12;26;1;1;1;;0;"15,0";"0,6";"0,2";"0,0";"24,5";"0,3";"8,5";"4,2";"36,5";"0,2";"3,4";"39,0";"3,7";"23,6";"6,7";"0,3";"0,3";"0,4";"0,0";"0,0";"5,1";"0,2";"11,2";"0,3";"0,1";"0,9";"0,0";"2,7";"4,0";"0,3";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
8168000;1;01/05/2023;1;"58,9";"282,2";28;28;1;1;1;;0;"13,4";"0,1";"5,9";"0,9";"3,8";"0,0";"0,2";"21,5";"15,0";"16,1";"1,3";"18,2";"0,7";"12,7";"7,5";"10,9";"13,6";"8,7";"0,4";"0,1";"0,0";"0,0";"1,9";"5,9";"6,5";"20,4";"2,5";"58,9";"24,5";"1,7";"8,9";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8168000;1;01/04/2023;1;"68,7";"392,1";29;24;1;1;1;;0;"34,9";"1,7";"19,9";"0,0";"0,0";"0,0";"28,7";"7,9";"3,5";"2,5";"0,1";"0,0";"0,2";"11,2";"7,8";"29,7";"33,6";"0,2";"2,3";"0,4";"1,3";"0,1";"0,0";"64,4";"2,4";"0,0";"59,5";"10,8";"68,7";"0,3";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
8168000;1;01/03/2023;1;"40,3";"229,9";12;21;1;1;1;;0;"20,6";"6,0";"0,0";"0,6";"10,7";"20,2";"6,4";"2,2";"0,0";"0,7";"0,0";"40,3";"17,2";"24,7";"0,0";"0,0";"0,0";"0,4";"0,0";"7,9";"0,0";"0,0";"0,0";"0,2";"13,0";"10,3";"0,3";"17,5";"10,1";"6,7";"13,9";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
