Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoCurva: 1 = Equação, 2 = Tabela
TipoEquacao: 1 = Potência (Q(H) = a(H - h0)^n), 2 = Linear (Q(H) = a0 + a1H), 3 = Parabólica (Q(H) = a0 + a1H + a2H^2), 4 = Cúbica (Q(H) = a0 + a1H + a2H^2 + a3H^3)

Restrições da consulta:
Código da Estação:14310000


EstacaoCodigo;NivelConsistencia;PeriodoValidadeInicio;PeriodoValidadeFim;CotaMaxima;CotaMinima;TipoCurva;NumeroCurva;TipoEquacao;CoefA;CoefH0;CoefN;CoefA0;CoefA1;CoefA2;CoefA3;TabelaPassoCota;TabelaVazao
14310000;2;14/08/1982;05/12/1987;"1200,0";"260,0";1;01/;1;"20,4688";"1,15";"1,592";;;;;"1,0";
14310000;2;06/12/1987;04/04/1992;"543,0";"280,0";1;01/03;1;"15,4886";"1,21";"1,692";;;;;"1,0";
14310000;2;06/12/1987;04/04/1992;"1147,0";"543,0";1;02/03;1;"0,2526";"-3,45";"3,0";;;;;"1,0";
14310000;2;06/12/1987;04/04/1992;"1250,0";"1147,0";1;03/03;1;"21,2279";"1,52";"1,6";;;;;"1,0";
14310000;2;05/04/1992;31/12/2021;"1021,0";"290,0";1;01/04;1;"21,9043";"0,97";"1,56";;;;;"1,0";
14310000;2;05/04/1992;31/12/2021;"1128,0";"1021,0";1;02/04;1;"0,0772";"-10,67";"3,0";;;;;"1,0";
14310000;2;05/04/1992;31/12/2021;"1202,0";"1128,0";1;03/04;1;"20,4688";"1,15";"1,592";;;;;"1,0";
14310000;2;05/04/1992;31/12/2021;"1250,0";"1202,0";1;04/04;1;"21,2279";"1,52";"1,6";;;;;"1,0";
14310000;1;01/01/2022;31/12/2024;"1021,0";"290,0";1;01/04;1;"21,9043";"0,97";"1,56";;;;;"1,0";
14310000;1;01/01/2022;31/12/2024;"1128,0";"1021,0";1;02/04;1;"0,0772";"-10,67";"3,0";;;;;"1,0";
14310000;1;01/01/2022;31/12/2024;"1202,0";"1128,0";1;03/04;1;"20,4688";"1,15";"1,592";;;;;"1,0";
14310000;1;01/01/2022;31/12/2024;"1250,0";"1202,0";1;04/04;1;"21,2279";"1,52";"1,6";;;;;"1,0";
