Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:14310000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
14310000;1;01/10/2023;01/01/1900 10:22;120;"338,0";"71,2";"289,0";"75,8";"0,25";"3,81";Robson Oliveira/Geovani Xavier/Jonilson;4
14310000;1;07/06/2023;01/01/1900 09:30;119;"619,0";"279,0";"508,6";"80,8";"0,549";"6,3";Daniel Garcia/Robson Oliveira/Marcus Barreto;4
14310000;1;18/02/2023;01/01/1900 12:00;9999;"730,0";"396,0";"511,3";"73,0";"0,774";"7,01";Daniel Garcia / Robson Azevedo / Marcus Barreto;4
14310000;1;18/02/2023;01/01/1900 12:00;118;"730,0";"396,0";"511,0";"73,0";"0,774";"7,01";Daniel Garcia / Robson Azevedo / Marcus Barreto;4
14310000;1;01/11/2021;01/01/1900 08:00;117;"542,0";"235,0";"472,0";"82,1";"0,497";"5,75";Jean Flávio/Robson Oliveira;3
14310000;2;17/02/2020;01/01/1900 09:00;116;"487,0";"193,0";"418,0";"80,0";"0,461";"5,23";Cássio/Robson;8
14310000;1;17/02/2020;01/01/1900 09:00;116;"487,0";"193,0";"418,0";"80,0";"0,461";"5,23";Cássio/Robson;8
14310000;2;23/11/2019;01/01/1900 11:09;115;"606,0";"284,0";"514,0";"82,4";"0,552";"6,24";Pedro Dailson e Cassio;4
14310000;1;23/11/2019;01/01/1900 11:09;115;"606,0";"284,0";"514,1";"82,4";"0,552";"6,24";Pedro Dailson e Cassio;4
14310000;2;21/11/2019;01/01/1900 10:34;114;"508,0";"187,0";"433,0";"80,9";"0,432";"5,35";Pedro Dailson e Cassio;4
14310000;1;21/11/2019;01/01/1900 10:34;114;"508,0";"187,0";"433,4";"80,9";"0,432";"5,35";Pedro Dailson e Cassio;4
14310000;2;15/07/2019;01/01/1900 14:15;113;"724,0";"361,0";"621,0";"86,2";"0,581";"7,2";Guilherme e Fabio;4
14310000;1;15/07/2019;01/01/1900 14:15;113;"724,0";"361,0";"620,6";"86,2";"0,581";"7,2";Guilherme e Fabio;4
14310000;2;02/05/2019;01/01/1900 15:00;112;"666,0";"313,0";"560,0";"80,7";"0,56";"6,94";Manoelson e Diego;4
14310000;1;02/05/2019;01/01/1900 15:00;112;"666,0";"313,0";"560,0";"80,7";"0,56";"6,94";Manoelson e Diego;4
14310000;2;05/02/2019;01/01/1900 13:00;111;"664,0";"319,0";"570,0";"82,3";"0,56";"6,92";Daniel Garcia e Diego Brito;4
14310000;1;05/02/2019;01/01/1900 13:00;111;"664,0";"319,0";"570,0";"82,3";"0,56";"6,92";Daniel Garcia e Diego Brito;4
14310000;2;14/11/2018;01/01/1900 16:20;110;"479,0";"169,0";"411,0";"80,8";"0,412";"5,09";Daniel Garcia;4
14310000;1;14/11/2018;01/01/1900 16:20;110;"479,0";"169,0";"411,0";"80,8";"0,412";"5,09";Daniel Garcia;4
