Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:14310000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
14310000;1;01/09/2023;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0
14310000;1;01/08/2023;;1;1;;;;;;0;0;0;;0;"488,8399";"513,0109";"537,059";"547,3309";"548,4162";"544,621";"536,5203";"504,0294";"452,3622";"384,8987";"334,5276";"305,0121";"298,8779";"301,9394";"301,5014";"294,5237";"279,892";"245,7208";"215,5016";"198,2887";"181,2313";"158,7784";"136,4223";"124,1115";"124,1115";"125,7074";"125,3877";;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;0;0;0;0
14310000;1;01/07/2023;;1;1;"619,4627";"202,8284";"440,0453";21;11;1;1;1;;0;"412,002";"424,8094";"436,2558";"431,7638";"396,9166";"333,1648";"308,5375";"307,2138";"278,6139";"217,8353";"202,8284";"229,6385";"229,6385";"227,26";"306,773";"421,3474";"516,7257";"571,3853";"600,2889";"616,6294";"619,4627";"608,1577";"589,6686";"579,1166";"573,5904";"566,4349";"561,5";"544,621";"528,4633";"509,8345";"490,9251";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14310000;1;01/06/2023;;1;1;"506,6651";"180,5022";"315,4632";1;22;1;1;1;;0;"506,6651";"487,7985";"467,1388";"447,3065";"422,3355";"400,3053";"289,7607";"263,0237";"245,7208";"243,2836";"255,9693";"278,6139";"280,7453";"272,2547";"293,6556";"315,6317";"324,5805";"301,9394";"260,9418";"222,5298";"191,9208";"180,5022";"191,5485";"240,8552";"282,8825";"293,2219";"322,7836";"372,069";"399,8206";"408,0897";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14310000;1;01/05/2023;;1;1;"651,5119";"259,2805";"460,9112";18;2;1;1;1;"0,0";0;"270,9892";"259,2805";"268,4646";"279,892";"301,5014";"330,898";"365,0091";"416,9113";"445,2899";"473,818";"501,9244";"508,2489";"511,4218";"546,7885";"558,7651";"631,9842";"649,2035";"651,5119";"634,2705";"610,4127";"581,3324";"551,1329";"522,0493";"495,105";"463,5565";"423,3245";"382,9882";"368,2977";"372,5414";"398,8517";"512,481";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14310000;1;01/04/2023;;1;1;"395,4674";"209,3226";"284,2944";25;8;1;1;1;"0,0";0;"259,2805";"261,7738";"282,4546";"286,7442";"255,5565";"220,5694";"214,3381";"209,3226";"237,6309";"274,7921";"294,0895";"305,452";"298,0052";"269,3052";"238,4355";"217,4457";"221,3528";"245,7208";"254,3195";"243,2836";"244,5012";"327,7338";"361,2638";"377,2771";"395,4674";"387,7709";"372,069";"352,8875";"325,0303";"294,9581";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14310000;1;01/03/2023;;1;1;"489,8821";"128,5984";"300,2711";12;24;2;2;2;"0,0";0;"137,0817";"133,7959";"136,4223";"183,7914";"292,7884";"440,7646";"457,9471";"487,7985";"483,6409";"478,462";"485,7181";"489,8821";"485,7181";"481,5669";"463,0455";"428,7784";"366,887";"283,3107";"217,0564";"200,1757";"183,7914";"160,8706";"139,0669";"128,5984";"150,5083";"180,1381";"228,0519";"237,6309";"245,7208";"258,037";"261,3577";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1
14310000;1;01/02/2023;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;"243,2836";"258,8657";"290,6246";"352,8875";"368,2977";"357,9979";"349,6491";"384,8987";"394,0202";"394,5024";"388,73";"335,4372";;"342,7459";"325,4804";"307,2138";"272,677";"234,4222";"217,0564";"200,9324";"167,206";;;;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0
14310000;1;01/01/2023;;1;1;"638,2786";"136,4223";"369,8676";22;1;1;1;1;"0,0";0;"136,4223";"141,7298";"148,4657";"162,6216";"164,0273";"153,9349";"161,2203";"190,0621";"251,4415";"308,096";"308,5375";"328,6368";"381,081";"430,2702";"454,3902";"457,9471";"450,3375";"456,4215";"526,8572";"604,2187";"625,7122";"638,2786";"626,2814";"605,9057";"579,6703";"545,7044";"497,7239";"415,9278";"314,7417";"240,4513";"158,7784";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14310000;1;01/12/2022;;1;1;"185,9959";"125,3877";"136,6006";1;8;1;1;1;"0,0";0;"185,9959";"141,7298";"130,2147";"132,4896";"130,5388";"127,9539";"126,3478";"125,3877";"126,0275";"126,9894";"128,276";"132,1638";"138,7354";"145,0837";"151,1914";"147,1096";"141,0624";"135,764";"132,4896";"128,276";"127,3106";"133,7959";"142,3983";"147,4482";"149,4858";"142,3983";"136,4223";"132,1638";"128,9211";"127,6321";"132,8158";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
