Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoCurva: 1 = Equação, 2 = Tabela
TipoEquacao: 1 = Potência (Q(H) = a(H - h0)^n), 2 = Linear (Q(H) = a0 + a1H), 3 = Parabólica (Q(H) = a0 + a1H + a2H^2), 4 = Cúbica (Q(H) = a0 + a1H + a2H^2 + a3H^3)

Restrições da consulta:
Código da Estação:14300000


EstacaoCodigo;NivelConsistencia;PeriodoValidadeInicio;PeriodoValidadeFim;CotaMaxima;CotaMinima;TipoCurva;NumeroCurva;TipoEquacao;CoefA;CoefH0;CoefN;CoefA0;CoefA1;CoefA2;CoefA3;TabelaPassoCota;TabelaVazao
14300000;2;01/07/1980;29/01/1987;"941,0";"340,0";1;01/02;1;"23,6";"2,5";"1,2";;;;;"1,0";
14300000;2;01/07/1980;29/01/1987;"1200,0";"941,0";1;02/02;1;"26,775";"5,47";"1,6";;;;;"1,0";
14300000;2;30/01/1987;31/01/1994;"916,0";"360,0";1;01/02;1;"20,9664";"2,65";"1,245";;;;;"1,0";
14300000;2;30/01/1987;31/01/1994;"1250,0";"916,0";1;02/02;1;"26,775";"5,47";"1,6";;;;;"1,0";
14300000;2;01/02/1994;26/04/2004;"824,0";"340,0";1;01/03;1;"22,2";"2,2";"1,2";;;;;"1,0";
14300000;2;01/02/1994;26/04/2004;"941,0";"824,0";1;02/03;1;"23,6";"2,5";"1,2";;;;;"1,0";
14300000;2;01/02/1994;26/04/2004;"1200,0";"941,0";1;03/03;1;"26,775";"5,47";"1,6";;;;;"1,0";
14300000;2;27/04/2004;31/12/2021;"457,0";"360,0";1;01/03;1;"22,2";"2,2";"1,2";;;;;"1,0";
14300000;2;27/04/2004;31/12/2021;"973,0";"457,0";1;02/03;1;"23,5707";"2,35";"1,224";;;;;"1,0";
14300000;2;27/04/2004;31/12/2021;"1300,0";"973,0";1;03/03;1;"26,775";"5,47";"1,6";;;;;"1,0";
14300000;1;01/01/2022;31/12/2024;"457,0";"360,0";1;01/03;1;"22,2";"2,2";"1,2";;;;;"1,0";
14300000;1;01/01/2022;31/12/2024;"973,0";"457,0";1;02/03;1;"23,5707";"2,35";"1,224";;;;;"1,0";
14300000;1;01/01/2022;31/12/2024;"1300,0";"973,0";1;03/03;1;"26,775";"5,47";"1,6";;;;;"1,0";
