Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:14300000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
14300000;1;01/03/2024;01/01/1900 13:10;128;"572,0";"112,0";"187,0";"61,5";"0,6";"3,04";"Robson Azevedo, Marcus Barreto e Jonilson";4
14300000;1;30/09/2023;01/01/1900 15:04;127;"407,0";"44,8";"96,7";"58,1";"0,463";"1,66";Robson Oliveira/Geovani Xavier/Jonilson;4
14300000;1;08/06/2023;01/01/1900 11:30;126;"563,0";"108,0";"190,3";"61,1";"0,566";"3,12";Daniel Garcia/Robson Oliveira/Marcus Barreto;4
14300000;1;19/02/2023;01/01/1900 17:00;9999;"567,0";"96,1";"198,0";"65,8";"0,486";"3,01";Daniel Garcia / Robson Azevedo / Marcus Barreto;4
14300000;1;19/02/2023;01/01/1900 17:00;125;"567,0";"96,1";"198,0";"65,8";"0,486";"3,01";Daniel Garcia / Robson Azevedo / Marcus Barreto;4
14300000;1;31/10/2021;01/01/1900 08:00;122;"616,0";"135,0";"227,3";"63,1";"0,6";"3,6";Jean Flávio/Robson Oliveira;4
14300000;2;16/02/2020;01/01/1900 16:20;121;"507,0";"84,6";"161,0";"62,0";"0,527";"2,59";Cássio/Robson;8
14300000;1;16/02/2020;01/01/1900 16:20;121;"507,0";"84,6";"161,0";"62,0";"0,527";"2,59";Cássio/Robson;8
14300000;2;22/11/2019;01/01/1900 13:27;120;"602,0";"107,0";"220,0";"65,5";"0,487";"3,36";Pedro Dailson e Cassio;4
14300000;1;22/11/2019;01/01/1900 13:27;120;"602,0";"107,0";"219,8";"65,5";"0,487";"3,36";Pedro Dailson e Cassio;4
14300000;2;16/07/2019;01/01/1900 14:30;119;"752,0";"181,0";"299,0";"65,0";"0,605";"4,61";Guilherme e Fabio;4
14300000;1;16/07/2019;01/01/1900 14:30;119;"752,0";"181,0";"299,2";"65,0";"0,605";"4,61";Guilherme e Fabio;4
14300000;2;03/05/2019;01/01/1900 12:50;118;"797,0";"242,0";"347,0";"68,2";"0,698";"5,09";Manoelson e Diego;4
14300000;1;03/05/2019;01/01/1900 12:50;118;"797,0";"242,0";"347,0";"68,2";"0,698";"5,09";Manoelson e Diego;4
14300000;2;04/02/2019;01/01/1900 16:00;117;"611,0";"136,0";"223,0";"63,6";"0,61";"3,5";Daniel Garcia e Diego Brito;4
14300000;1;04/02/2019;01/01/1900 16:00;117;"611,0";"136,0";"223,0";"63,6";"0,61";"3,5";Daniel Garcia e Diego Brito;4
14300000;2;26/11/2018;01/01/1900 13:50;116;"539,0";"90,9";"182,0";"62,5";"0,501";"2,9";Daniel Garcia;4
14300000;1;26/11/2018;01/01/1900 13:50;116;"539,0";"90,9";"181,5";"62,5";"0,501";"2,9";Daniel Garcia;4
14300000;2;13/07/2018;01/01/1900 14:00;115;"697,0";"147,0";"265,0";"59,8";"0,553";"4,43";Guilherme / Marcus;4
14300000;1;13/07/2018;01/01/1900 14:00;115;"697,0";"147,0";"265,2";"59,8";"0,553";"4,43";Guilherme / Marcus;4
14300000;2;26/04/2018;01/01/1900 14:00;114;"723,0";"167,0";"293,0";"66,8";"0,57";"4,39";Daniel Garcia / Guilherme Costa;4
14300000;1;26/04/2018;01/01/1900 14:00;114;"723,0";"167,0";"293,1";"66,8";"0,57";"4,39";Daniel Garcia / Guilherme Costa;4
14300000;2;14/02/2018;01/01/1900 08:00;113;"403,0";"41,5";"98,5";"56,9";"0,42";"1,73";Daniel e Guilherme;4
14300000;1;14/02/2018;01/01/1900 08:00;113;"403,0";"41,5";"98,5";"56,9";"0,42";"1,73";Daniel e Guilherme;4
14300000;2;04/12/2017;01/01/1900 12:40;112;"540,0";"93,4";"181,0";"63,6";"0,515";"2,85";;
14300000;1;04/12/2017;01/01/1900 12:40;112;"540,0";"93,4";"181,3";"63,6";"0,515";"2,85";;0
14300000;2;21/07/2017;01/01/1900 10:28;111;"588,0";"118,0";"201,0";"62,8";"0,59";"3,19";;
14300000;1;21/07/2017;01/01/1900 10:28;111;"588,0";"118,0";"201,0";"62,8";"0,59";"3,19";;0
14300000;2;24/05/2017;01/01/1900 15:57;110;"708,0";"162,0";"283,0";"68,3";"0,572";"4,15";Daniel Garcia de Oliveira;4
14300000;1;24/05/2017;01/01/1900 15:57;110;"708,0";"162,0";"283,0";"68,3";"0,572";"4,15";Daniel Garcia de Oliveira;4
14300000;2;01/02/2017;01/01/1900 18:23;109;"840,0";"253,0";"371,0";"74,5";"0,68";"4,98";;
14300000;1;01/02/2017;01/01/1900 18:23;109;"840,0";"253,0";"371,4";"74,5";"0,68";"4,98";;
14300000;2;11/10/2016;01/01/1900 18:32;108;"822,0";"217,0";"357,0";"72,3";"0,608";"4,94";;
14300000;1;11/10/2016;01/01/1900 18:32;108;"822,0";"217,32";"357,28";"72,309";"0,608";"5,43";;
14300000;2;16/07/2016;01/01/1900 10:38;107;"820,0";"223,0";"345,0";"67,4";"0,645";"5,12";;
14300000;1;16/07/2016;01/01/1900 10:38;107;"820,0";"222,69";"345,39";"67,411";"0,645";"5,38";;
14300000;2;18/02/2016;01/01/1900 11:40;106;"494,0";"74,9";"114,0";"68,9";"0,673";"1,65";;
14300000;1;18/02/2016;01/01/1900 11:40;106;"494,0";"74,9";"114,0";"68,86";"0,673";"1,65";;
14300000;2;11/07/2015;01/01/1900 18:25;105;"764,0";"174,0";"325,0";"66,2";"0,535";"4,9";;
14300000;1;11/07/2015;01/01/1900 18:25;105;"764,0";"173,64";"324,68";"66,22";"0,535";"4,9";;
14300000;2;09/02/2015;01/01/1900 11:01;104;"703,0";"153,0";"273,0";"67,1";"0,562";"4,14";;
14300000;1;09/02/2015;01/01/1900 11:01;104;"703,0";"153,181";"272,7";"67,13";"0,562";"4,14";;
14300000;2;11/05/2014;01/01/1900 16:36;103;"632,0";"123,75";"221,81";"65,98";"0,558";"3,36";;0
14300000;1;11/05/2014;01/01/1900 16:36;103;"632,0";"123,75";"221,81";"65,98";"0,558";"3,36";;
14300000;2;23/10/2013;01/01/1900 08:35;102;"619,0";"142,0";"271,04";"62,9";"0,524";"3,45";;0
14300000;1;23/10/2013;01/01/1900 08:35;102;"619,0";"115685,0";"27104,0";"6290,0";"0,524";"345,0";;
14300000;2;19/07/2013;01/01/1900 11:10;101;"632,0";"127,0";"231,0";"65,0";"0,549";"3,56";;0
14300000;1;19/07/2013;01/01/1900 11:10;101;"632,0";"127,0";"231,0";"65,0";"0,549";"3,56";;
14300000;2;09/05/2013;01/01/1900 11:30;100;"483,0";"67,763";"139,5";"61,5";"0,486";"2,27";;0
14300000;1;09/05/2013;01/01/1900 11:30;100;"483,0";"67,763";"139,5";"61,5";"0,486";"2,27";;
14300000;2;08/11/2012;01/01/1900 08:58;99;"454,0";"64,24";"132,7";"59,06";"0,484";"1,856";;0
14300000;1;08/11/2012;01/01/1900 08:58;99;"454,0";"64,24";"132,7";"59,06";"0,484";"1,856";;
14300000;2;18/07/2012;01/01/1900 15:15;98;"782,0";"187,303";"354,638";"67,6531";"0,529";"5,242";;0
14300000;1;18/07/2012;01/01/1900 15:15;98;"782,0";"187,303";"354,638";"54,865";"0,529";"5,242";;
14300000;1;27/04/2012;01/01/1900 13:16;97;"686,0";"158,0";"268,0";"53,38";"0,59";"3,62";;
14300000;2;30/09/2011;01/01/1900 09:00;97;"485,0";"75,026";"155,73";"63,95";"0,482";"2,44";;0
14300000;1;30/09/2011;01/01/1900 09:00;96;"485,0";"75,026";"155,73";"63,95";"0,482";"2,44";;
14300000;2;05/07/2011;01/01/1900 07:05;96;"645,0";"137,639";"288,08";"68,1";"0,478";"4,23";;0
