Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:14300000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
14300000;1;01/03/2024;01/01/1900 13:10;91;01/03/2024;01/01/1900 14:00;128;572;"112,0";"187,0";"61,5";"0,6";"9,32";572;"26,0";;;
14300000;1;08/06/2023;01/01/1900 17:00;90;08/06/2023;01/01/1900 16:00;126;563;"108,0";"190,0";"61,1";"0,566";"9,43";563;;;;Daniel Garcia/Robson Oliveira/Marcus Barreto
14300000;1;19/02/2023;01/01/1900 17:45;9999;19/02/2023;01/01/1900 17:00;9999;567;"96,1";"198,0";"65,8";"0,486";"7,61";570;"26,1";;"7,8";"Média Laudos LAMIN 218-222/2023 (GLPI3210), Vertical 1-5 (10-90% da vazão),"
14300000;1;31/10/2021;01/01/1900 09:00;122;31/10/2021;01/01/1900 08:00;122;616;"135,0";"227,0";"63,1";"0,6";"4,87";616;;;"7,1";
14300000;1;16/07/2019;01/01/1900 16:30;118;16/07/2019;01/01/1900 14:30;119;752;"181,0";"299,2";"65,0";"0,605";"1,62";751;"24,7";;"13,8";Resultado de Análise Sedimentométrica Nº 907/19
14300000;1;03/05/2019;01/01/1900 14:00;117;03/05/2019;01/01/1900 12:50;118;797;"242,0";"347,0";"68,2";"0,698";"4,63";699;"26,0";;"12,3";"Laudo de Análises Sedimentométrica Nº, 674/19"
14300000;1;04/02/2019;01/01/1900 17:00;116;04/02/2019;01/01/1900 15:30;117;611;"136,0";"223,0";"63,6";"0,61";"4,54";611;"25,4";;"11,45";Laudo de Análise Sedimentométrica Nº 268 /19
14300000;1;26/11/2018;01/01/1900 13:00;115;26/11/2018;01/01/1900 13:30;116;539;"90,9";"182,0";"62,5";"0,501";"3,84";539;;;"7,52";Laudo de Análise Sedimentométrica Nº 1616 /18
14300000;1;13/07/2018;01/01/1900 14:30;114;13/07/2018;01/01/1900 14:10;115;698;"146,0";"265,2";"59,8";"0,552";"3,0";698;"24,3";;"5,28";LS 803/18
14300000;1;26/04/2018;01/01/1900 15:20;113;26/04/2018;01/01/1900 14:40;114;723;"167,0";"293,1";"66,8";"0,57";"3,37";723;"25,4";;"9,2";
14300000;1;14/02/2018;01/01/1900 18:43;113;14/02/2018;01/01/1900 08:00;113;403;"41,5";"98,5";"56,3";"0,42";"2,38";403;;;"4,07";Laudo de Análise Sedimentométrica N° LS 086/18 - Superficial
14300000;1;21/07/2017;01/01/1900 14:40;111;21/07/2017;01/01/1900 10:28;111;588;"118,0";"201,0";"62,8";"0,59";"2,88";588;"24,4";;"6,62";
14300000;1;24/05/2017;01/01/1900 17:30;110;24/05/2017;01/01/1900 15:57;110;708;"162,0";"283,2";"68,3";"0,57";"5,12";708;"25,5";;"7,2";
14300000;1;01/02/2017;01/01/1900 18:43;30;01/02/2017;01/01/1900 18:23;109;840;"253,0";"371,0";"74,5";"0,68";"7,09";840;"24,9";;"11,04";Laudo de Análise Sedimentométrica n° LS 091/17
14300000;1;11/10/2016;01/01/1900 18:30;108;11/10/2016;01/01/1900 18:32;108;822;"217,32";"357,28";"72,309";"0,608";"10,81";822;"25,0";;"12,21";"Laudos de Análises Sedimentométricas N, LS 922 a 926/2016"
14300000;1;16/07/2016;01/01/1900 10:38;107;16/07/2016;01/01/1900 10:38;107;820;"222,69";"345,39";"67,411";"0,645";"2,67";820;;;"8,52";
14300000;1;11/07/2015;01/01/1900 18:25;105;11/07/2015;01/01/1900 18:25;105;764;"173,64";"324,68";"66,22";"0,535";"4,62";858;;;"5,6";"Laudo de análise sedimentométrica Nº, LS 611/15"
14300000;1;09/02/2015;01/01/1900 11:30;104;09/02/2015;01/01/1900 11:01;104;703;"153,181";"272,7";"67,13";"0,562";"10,32";703;"25,0";;"6,35";
14300000;1;19/10/2014;01/01/1900 11:10;106;;;;;;;;;"16,34";624;"25,3";;"4,6";"Laude de Análise Sedimentométrica Nº, LS 901/2015"
14300000;1;11/05/2014;01/01/1900 17:00;103;11/05/2014;01/01/1900 16:38;103;632;"123,75";"221,81";"65,98";"0,558";"5,03";103;"28,0";;"8,3862";
14300000;1;23/10/2013;01/01/1900 10:35;102;23/10/2013;01/01/1900 10:35;102;619;"115,685";"217,04";"62,9";"0,524";"46,15";619;"29,8";;"6,5";Laudo de Análise Sedimentométrica Nº LS580/13
14300000;1;19/07/2013;01/01/1900 13:00;101;19/07/2013;01/01/1900 13:00;101;632;"127,0";"231,0";"65,0";"0,549";"5,25";632;"24,95";;"5,03";Laudo de Análise Sedimentométrica Nº LS394/13
14300000;1;09/05/2013;01/01/1900 11:35;100;09/05/2013;01/01/1900 11:35;100;483;"67,8";"140,0";"61,5";"0,486";"10,3493";483;;;"5,2286";"Laudo de Análise Sedimentométrica Nº LS175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187 e 188/13"
14300000;1;07/11/2012;01/01/1900 16:30;99;07/11/2012;01/01/1900 16:30;99;471;"64,24";"132,7";"59,06";"0,484";"13,31";471;"27,7";;"4,74";Laudo de Análise Sedimentométrica Nº LS435/12
14300000;1;19/07/2012;01/01/1900 10:30;98;19/07/2012;01/01/1900 10:30;98;782;"187,303";"354,638";"54,865";"0,529";"6,27";782;"25,4";;"4,82";Laudo de Análise Sedimentométrica Nº LS312/12
14300000;1;27/04/2012;01/01/1900 09:40;97;27/04/2012;01/01/1900 09:40;97;624;"158,0";"268,0";"53,38";"0,59";"3,37";624;"26,2";;"6,58";Laudo de Análise Sedimetométrica Nº LS 202/12
14300000;1;05/07/2011;01/01/1900 10:10;66;05/07/2011;01/01/1900 07:05;95;645;"138,0";"288,0";"68,0";"0,478";"11,8";644;"26,2";;"7,19";
14300000;1;01/08/2010;01/01/1900 14:20;65;01/08/2010;01/01/1900 12:30;94;684;"147,206";"277,31";"67,0";"0,531";"3,602";684;"24,0";"2,24";"8,8";
14300000;1;05/05/2010;01/01/1900 16:30;64;05/05/2010;01/01/1900 14:00;93;689;"156,315";"274,62";"67,3";"0,569";"4,931";689;"24,5";"1,48";"6,81";
14300000;1;23/08/2009;01/01/1900 12:30;63;22/08/2009;01/01/1900 13:55;92;580;"110,0";"208,0";"64,2";"0,526";"213,0";580;"27,0";;"4,38";
14300000;1;24/05/2009;01/01/1900 10:00;62;24/05/2009;01/01/1900 08:30;91;606;"112,0";"211,0";"62,0";"0,532";"4,713";606;"26,6";;"6,22";
14300000;1;03/11/2008;01/01/1900 16:40;58;03/11/2008;01/01/1900 15:20;90;624;"144,0";"228,0";"64,9";"0,63";"5,21";624;"26,4";;"6,0";
14300000;1;06/08/2008;01/01/1900 11:40;60;06/08/2008;01/01/1900 10:30;89;496;"68,462";"138,37";"60,0";"0,495";"6,55";496;"26,8";;"8,0";
14300000;1;14/04/2008;01/01/1900 09:30;59;14/04/2008;01/01/1900 08:26;88;534;"95,9";"183,0";"68,2";"0,526";"10,31";534;"26,0";;"35,0";
14300000;1;26/10/2007;01/01/1900 15:10;58;26/10/2007;01/01/1900 14:45;87;599;"119,0";"210,0";"64,7";"0,564";"8,56";599;"25,2";;"171,0";
14300000;1;20/07/2007;01/01/1900 14:55;57;20/07/2007;01/01/1900 14:05;86;914;"208,0";"417,0";"72,5";"0,498";"2,05";911;"25,8";;"43,0";
14300000;1;30/08/2006;01/01/1900 12:05;56;30/08/2006;01/01/1900 11:25;85;506;"82,2";"150,0";"61,5";"0,548";"2,64";506;"25,8";;"12,0";
14300000;1;28/08/2005;01/01/1900 10:45;55;28/08/2005;01/01/1900 10:30;84;463;"57,407";"124,66";"60,8";"0,461";"1,42";462;"25,8";;;
14300000;1;14/10/2004;01/01/1900 11:45;54;14/10/2004;01/01/1900 11:05;83;536;"91,5";"167,0";"59,65";"0,548";"2,48";534;"26,0";;"33,0";
14300000;1;24/07/2004;01/01/1900 14:50;53;24/07/2004;01/01/1900 15:20;81;614;"121,56";"219,49";"63,0";"0,554";"2,24";614;"25,0";;"29,0";
14300000;1;02/10/2003;01/01/1900 13:20;52;02/10/2003;01/01/1900 13:20;1320;605;"102,0";"217,0";"62,4";"0,471";"3,0";605;"25,0";;"43,0";
14300000;1;06/07/2003;01/01/1900 10:20;51;06/07/2003;01/01/1900 08:40;80;759;"162,664";"309,71";"68,0";"0,525";"3,22";759;"25,5";;"12,0";
14300000;1;07/11/2002;01/01/1900 10:50;50;07/11/2002;01/01/1900 11:50;79;654;"153,0";"242,0";"63,12";"0,631";"4,84";654;"25,8";;"24,0";
14300000;1;09/08/2002;01/01/1900 11:45;47;09/08/2002;01/01/1900 10:00;78;582;"104,034";"196,93";"63,53";"0,528";"4,86";582;"25,0";;"18,0";
14300000;1;27/04/2002;01/01/1900 10:50;46;27/04/2002;01/01/1900 09:00;77;972;"261,37";"424,26";"73,0";"0,616";"3,05";;;;;
14300000;1;04/12/2001;01/01/1900 10:20;45;04/12/2001;01/01/1900 08:50;76;453;"60,474";"116,99";"60,2";"0,517";"3,31";453;"26,2";;"4,45";
14300000;1;30/08/2001;01/01/1900 10:40;44;30/08/2001;01/01/1900 09:45;75;623;"136,6";"221,98";"62,2";"0,615";"3,8";623;"25,8";;"25,85";
14300000;1;24/05/2001;01/01/1900 12:55;43;24/05/2001;01/01/1900 11:40;75;794;"138,0";"331,13";"67,5";"0,417";"5,15";790;"25,4";;"35,27";
14300000;1;07/12/2000;01/01/1900 15:10;42;07/12/2000;01/01/1900 15:10;73;512;"83,096";"163,01";"61,1";"0,51";"3,33";510;"25,3";;"20,45";
14300000;1;26/08/2000;01/01/1900 13:40;41;26/08/2000;01/01/1900 13:40;73;560;"90,15";"189,97";"60,6";"0,475";"4,49";560;"25,6";;"40,01";Concentração Extra não medida
14300000;1;25/06/2000;01/01/1900 07:00;40;25/06/2000;01/01/1900 07:00;72;962;"263,0";"456,0";"72,75";"0,577";"2,5499999999992697";;;;;
14300000;1;26/02/2000;01/01/1900 07:00;41;26/02/2000;01/01/1900 07:00;71;631;"137,0";"231,5";"63,1";"0,593";"6,17";;;;;
14300000;1;02/12/1999;01/01/1900 07:00;38;02/12/1999;01/01/1900 07:00;70;472;"68,6";"140,0";"60,3";"0,489";"4,2499999999272395";;;;;
14300000;1;27/08/1999;01/01/1900 07:00;39;27/08/1999;01/01/1900 07:00;69;527;"91,2";"172,0";"61,6";"0,53";"5,08";;;;;
14300000;1;28/05/1999;01/01/1900 07:00;36;28/05/1999;01/01/1900 07:00;68;1024;"328,0";"517,0";"84,4";"0,634";"3,37999999993917";;;;;
14300000;1;25/02/1999;01/01/1900 07:00;35;25/02/1999;01/01/1900 07:00;67;616;"108,0";"222,0";"62,5";"0,486";"2,87999999995009";;;;;
14300000;1;23/11/1998;01/01/1900 07:00;36;23/11/1998;01/01/1900 07:00;66;618;"122,0";"223,9";"62,9";"0,544";"5,14";;;;;
14300000;1;10/09/1998;01/01/1900 07:00;33;10/09/1998;01/01/1900 07:00;65;905;"241,0";"412,8";"56,0";"0,584";"7,119999999871649";;;;;
14300000;1;02/06/1998;01/01/1900 07:00;34;02/06/1998;01/01/1900 07:00;64;681;"138,0";"261,0";"64,0";"0,529";"7,93";;;;;
14300000;1;23/12/1997;01/01/1900 07:00;33;23/12/1997;01/01/1900 07:00;63;440;"52,1";"116,0";"58,1";"0,45";"4,07";;;;;
14300000;1;26/08/1997;01/01/1900 07:00;32;26/08/1997;01/01/1900 07:00;62;539;"86,9";"176,0";"61,9";"0,493";"4,19";;;;;
14300000;1;26/08/1997;01/01/1900 07:00;16;26/08/1997;01/01/1900 07:00;62;539;"86,9";"176,0";"61,9";"0,493";"4,19";;;;;
14300000;1;31/05/1997;01/01/1900 07:00;31;31/05/1997;01/01/1900 07:00;61;769;"179,0";"321,0";"66,6";"0,559";"3,7";;;;;
14300000;1;24/09/1996;01/01/1900 07:00;30;24/09/1996;01/01/1900 07:00;60;518;"84,9";"163,0";"61,4";"0,52";"6,07";;;;;
14300000;1;02/07/1996;01/01/1900 07:00;29;02/07/1996;01/01/1900 07:00;59;808;"205,0";"341,5";"68,0";"0,599";"1,24";;;;;
14300000;1;01/03/1996;01/01/1900 07:00;28;01/03/1996;01/01/1900 07:00;58;659;"126,0";"249,0";"63,5";"0,504";"5,33";;;;;
14300000;1;08/12/1995;01/01/1900 07:00;27;08/12/1995;01/01/1900 07:00;57;569;"116,0";"196,0";"62,3";"0,593";"2,08";;;;;
