Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:14300000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
14300000;1;01/02/2024;;1;1;"212,1283";"52,6899";"125,8573";17;28;3;3;3;"0,0";0;"76,0889";"73,5938";"76,0889";"78,2395";"87,682";"100,503";"125,8662";"151,3944";"190,5567";"185,0733";"164,8817";"157,4989";"155,4592";"155,8667";"157,2947";"184,863";"212,1283";"209,1131";"190,9797";"166,3244";"139,5206";"116,1369";"99,1879";"86,3995";"72,7065";"60,7875";"56,5589";"52,6899";"66,3768";;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;0;0
14300000;1;01/01/2024;;1;1;"169,4236";"58,9018";"107,4199";14;29;3;3;3;"0,0";0;"135,9339";"112,862";"97,876";"84,5735";"72,8838";"65,6801";"62,3664";"62,7342";"98,6252";"111,5186";"107,3156";"109,9868";"164,0584";"169,4236";"144,1282";"122,5422";"123,9089";"123,9089";"128,8125";"139,7203";"145,536";"146,14";"141,5205";"124,4955";"106,7448";"91,55";"79,1388";"67,0748";"58,9018";"60,0006";"70,0563";;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
14300000;1;01/12/2023;;1;1;"219,4835";"65,8541";"129,3453";19;3;2;2;2;"0,0";0;"81,4857";"71,2908";"65,8541";"77,7008";"92,4754";"96,9408";"91,3651";"106,935";"123,7135";"128,2222";"136,5305";"127,6325";"135,1392";"121,9573";"108,2683";"101,4443";"134,7421";"202,0374";"219,4835";"216,6658";"202,2512";"183,8121";"153,4243";"128,2222";"124,2999";"112,094";"96,9408";"105,4151";"149,3695";"160,3626";"153,6276";;;;;;;;;;;;;;;2;;3;3;;;;;;;;;;;;;
14300000;1;01/11/2023;;1;1;"174,612";"36,6915";"95,9895";11;3;2;2;2;"0,0";0;"38,2904";"40,3415";"36,6915";"46,4471";"60,3151";"83,2995";"84,3913";"85,303";"91,3651";"152,2058";"174,612";"167,5628";"144,5302";"124,6911";"136,5305";"117,1033";"75,5529";"58,1191";"49,0196";"44,0475";"72,3521";"93,7738";"133,3542";"138,5226";"132,1666";"83,2995";"113,2464";"108,459";"100,503";"93,5881";;2;;;;;;;;;3;;;;;;;;;;;;;;;;3;;;;;0
14300000;1;01/10/2023;;1;1;"64,9847";"31,5412";"41,9555";16;6;1;1;1;"0,0";0;"47,8062";"45,9956";"39,1672";"34,9604";"33,9571";"31,5412";"31,6825";"33,5286";"34,3865";"33,386";"35,8242";"45,9956";"48,1091";"58,1191";"63,7711";"64,9847";"61,2604";"54,8509";"50,0855";"41,9654";"39,9005";"39,9005";"44,0475";"40,7833";"36,5467";"33,2435";"33,5286";"33,386";"35,2479";"36,5467";"36,1129";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14300000;1;01/09/2023;;1;1;"78,7788";"45,5448";"53,9472";11;4;2;2;2;"0,0";0;"54,5413";"49,476";"47,2014";"45,5448";"52,6899";"47,5036";"48,2606";"51,3084";"54,5413";"65,1584";"78,7788";"78,599";"69,0013";"59,8434";"50,6963";"45,695";"52,8438";"59,0586";"54,3866";"49,476";"47,5036";"45,695";"46,8994";"49,0196";"55,3158";"63,9442";"56,0922";"46,4471";"45,8452";"47,0504";;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;2;;0
14300000;1;01/08/2023;;1;1;"235,2079";"48,2606";"115,1122";3;29;1;1;1;;0;"193,3093";"222,3078";"235,2079";"224,7028";"212,1283";"192,038";"175,6531";"148,9651";"131,1785";"119,2346";"104,4671";"106,3646";"125,8662";"128,4189";"127,436";"123,5181";"105,6048";"93,7738";"88,2327";"84,5735";"74,1272";"63,2523";"58,432";"54,6961";"59,0586";"56,4032";"53,46";"50,5435";"48,2606";"50,2381";"57,0262";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14300000;1;01/07/2023;;1;1;"337,1132";"70,0563";"170,7963";17;13;1;1;1;;0;"149,3695";"152,8148";"145,9386";"136,3316";"122,9324";"107,887";"107,3156";"96,754";"85,851";"77,1628";"80,7622";"73,5938";"70,0563";"103,8991";"167,3563";"246,686";"337,1132";"313,0792";"275,2081";"265,8842";"257,1454";"233,4509";"211,266";"197,5581";"200,3288";"193,3093";"183,8121";"170,8734";"172,5332";"176,0698";"182,3427";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14300000;1;01/06/2023;;1;1;"143,9273";"82,7546";"112,6342";30;23;1;1;1;;0;"126,0622";"123,5181";"121,3729";"118,8466";"111,9021";"109,6045";"105,4151";"102,5759";"105,6048";"113,8235";"115,3648";"117,6839";"120,4001";"118,8466";"130,5862";"142,723";"139,1212";"120,7891";"107,1253";"97,5017";"91,55";"87,3152";"82,7546";"90,0729";"87,682";"82,9361";"103,7099";"125,8662";"134,3453";"143,9273";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14300000;1;01/05/2023;;1;1;"183,1821";"75,7315";"135,4661";20;1;1;1;1;"0,0";0;"75,7315";"80,7622";"89,7043";"95,4481";"97,5017";"101,8212";"107,1253";"110,9437";"117,4903";"121,1782";"125,6702";"129,2063";"134,3453";"141,3203";"146,14";"160,9775";"163,2357";"168,5961";"174,8201";"183,1821";"169,0098";"167,3563";"162,6193";"160,9775";"156,8865";"154,6446";"151,8";"145,1335";"137,7251";"134,147";"133,9487";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
