Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:8069003


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
8069003;1;01/02/2024;1;"31,8";"287,6";5;26;1;1;1;;0;"9,8";"0,1";"23,9";"0,1";"31,8";"16,7";"22,6";"14,6";"11,3";"2,1";"1,7";"21,5";"0,2";"22,1";"28,5";"0,6";"22,5";"11,0";"2,6";"11,0";"0,2";"0,1";"0,0";"0,0";"0,0";"12,6";"0,1";"0,1";"19,8";;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
8069003;1;01/01/2024;1;"37,9";"251,1";12;27;1;1;1;;0;"0,2";"5,6";"8,7";"0,2";"22,2";"6,3";"0,3";"1,1";"37,3";"0,2";"2,1";"37,9";"22,5";"0,4";"0,6";"24,7";"0,2";"7,4";"30,6";"0,0";"3,4";"0,1";"6,6";"0,1";"0,0";"0,0";"0,1";"1,8";"0,0";"25,9";"4,6";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069003;1;01/12/2023;1;"57,2";"391,6";18;;1;1;0;;0;"0,2";"1,8";"0,3";"20,1";"5,8";"16,0";;"1,6";"8,1";"19,8";"36,2";"42,1";"8,5";"0,2";"8,1";"6,1";"25,1";"57,2";"0,3";"1,0";"5,6";"0,2";"0,1";"38,9";"0,8";"0,0";"1,5";"46,1";"19,7";"0,4";"19,8";1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069003;1;01/11/2023;1;"59,1";"252,2";7;;1;1;0;;0;"0,5";"0,0";"0,0";"7,4";"0,8";"2,7";"59,1";"40,4";;"2,7";"12,2";"2,1";"7,0";"0,0";"4,1";"0,0";"0,2";"0,1";"0,0";"0,0";"12,9";"56,7";"0,3";"0,2";"6,1";"0,3";"0,3";"33,4";"2,7";"0,0";;1;1;1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
8069003;1;01/10/2023;1;"60,9";"212,6";13;;1;1;0;;0;"0,1";"0,0";"0,0";"0,0";"1,1";"0,1";"0,0";"0,6";"0,9";"16,0";"0,3";"14,7";"60,9";"23,8";"0,3";;"0,7";"23,3";"0,2";"3,0";"4,8";"30,3";"0,2";"0,0";"0,0";"0,0";"0,0";"5,3";"21,7";"4,3";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069003;1;01/09/2023;1;"67,5";"163,1";17;18;1;1;1;;0;"0,2";"0,1";"0,0";"0,0";"14,5";"0,0";"0,0";"0,0";"8,3";"11,4";"9,1";"0,1";"0,0";"5,4";"0,1";"0,0";"67,5";"0,3";"0,2";"0,0";"0,0";"0,0";"0,0";"0,0";"30,8";"9,6";"0,2";"0,1";"0,8";"4,4";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
8069003;1;01/08/2023;1;"42,2";"184,5";1;24;1;1;1;;0;"42,2";"0,1";"37,8";"0,3";"0,1";"0,1";"4,3";"0,1";"24,2";"8,4";"5,1";"1,2";"14,3";"11,5";"2,4";"0,1";"0,1";"0,0";"9,3";"0,1";"0,0";"0,0";"0,0";"0,0";"11,4";"0,0";"1,1";"0,1";"1,1";"9,1";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069003;1;01/07/2023;1;"79,9";"495,2";15;;3;3;3;;0;;"15,6";"0,9";"0,1";"1,8";"14,3";"57,6";"2,7";"1,2";"0,6";"32,6";"2,2";"2,7";"35,6";"79,9";"50,2";"18,2";"3,2";"14,0";"13,9";"4,1";"3,7";"2,1";"49,7";"40,3";"0,3";"0,1";"4,3";"25,5";"0,6";"17,2";0;4;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069003;1;01/06/2023;1;;"352,7";;;3;3;3;;0;"3,1";"5,1";"0,0";"1,1";"2,6";"0,0";"0,0";"204,0";"11,9";"5,6";"19,2";"0,3";"0,0";"5,3";"19,8";"0,7";;"1,1";"0,1";"0,5";"2,0";"11,8";"4,9";"13,9";;"23,5";"9,8";"3,4";"0,6";"2,4";;1;1;1;1;1;1;1;4;1;3;1;1;1;1;1;1;0;4;1;1;1;1;1;1;0;4;1;1;1;1;0
8069003;1;01/05/2023;1;"64,5";"225,0";18;27;1;1;1;;0;"4,0";"1,0";"5,1";"3,2";"6,5";"8,1";"3,2";"7,1";"2,2";"24,1";"3,1";"5,1";"3,2";"5,0";"1,0";"3,2";"50,6";"64,5";"1,0";"0,0";"0,3";"3,2";"5,0";"5,5";"1,0";"0,5";"3,2";"0,0";"5,1";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
