Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:8069004


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
8069004;1;01/08/2023;1;"19,6";"114,1";11;16;1;1;1;;0;"5,7";"0,0";"0,0";"0,0";"0,0";"3,1";"3,2";"0,0";"0,0";"9,3";"19,6";"0,0";"13,9";"2,8";"0,0";"0,1";"0,0";"0,0";"0,0";"15,9";"0,0";"0,7";"0,0";"10,8";"13,6";"0,1";"0,0";"7,0";"0,2";"8,1";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069004;1;01/07/2023;1;"40,8";"308,4";15;24;1;1;1;;0;"3,7";"19,8";"4,1";"1,5";"0,0";"2,0";"21,3";"15,0";"5,5";"0,0";"19,4";"15,1";"0,6";"12,4";"40,8";"23,7";"4,8";"0,0";"0,0";"4,6";"0,0";"0,0";"6,6";"25,8";"34,6";"0,9";"0,0";"9,5";"24,1";"0,3";"12,3";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069004;1;01/06/2023;1;"39,6";"280,5";26;18;1;1;1;;0;"6,8";"2,4";"0,0";"12,3";"14,7";"3,9";"0,0";"0,0";"23,7";"0,0";"24,9";"16,3";"0,0";"4,7";"35,5";"3,1";"0,0";"0,0";"0,0";"0,9";"28,4";"0,0";"28,8";"17,4";"0,0";"39,6";"17,0";"0,1";"0,0";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
8069004;1;01/05/2023;1;"58,9";"322,2";28;21;1;1;1;;0;"0,0";"3,3";"13,2";"2,1";"12,0";"0,0";"26,6";"2,8";"2,8";"31,7";"34,0";"0,0";"12,3";"26,5";"31,0";"7,7";"4,4";"0,0";"0,0";"1,1";"5,1";"0,0";"12,3";"3,9";"0,0";"0,0";"15,9";"58,9";"0,0";"14,6";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069004;1;01/04/2023;1;"96,6";"340,6";21;19;1;1;1;;0;"10,3";"13,6";"10,6";"1,7";"1,3";"0,2";"1,3";"1,3";"34,6";"0,0";"0,0";"59,3";"1,4";"0,0";"0,0";"0,0";"30,8";"0,0";"0,7";"0,0";"96,6";"0,0";"0,0";"55,1";"1,2";"0,0";"0,0";"7,7";"7,3";"5,6";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
8069004;1;01/03/2023;1;"40,7";"177,3";29;14;1;1;1;;0;"3,5";"4,8";"0,0";"6,3";"20,7";"0,0";"11,7";"11,3";"0,0";"8,8";"4,6";"0,0";"28,6";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"8,8";"0,0";"2,5";"40,7";"4,7";"20,3";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069004;1;01/02/2023;1;"39,7";"197,8";20;19;1;1;1;;0;"0,0";"0,0";"0,3";"0,0";"6,1";"36,8";"0,1";"6,4";"6,5";"32,0";"0,9";"0,0";"2,9";"0,0";"6,1";"0,0";"13,5";"0,7";"0,0";"39,7";"1,0";"10,6";"12,9";"6,7";"12,0";"2,6";"0,0";"0,0";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
8069004;1;01/01/2023;1;"59,7";"432,5";12;18;1;1;1;;0;"0,0";"52,6";"35,1";"1,9";"19,0";"0,0";"32,5";"24,0";"0,0";"0,0";"0,0";"59,7";"33,3";"0,0";"0,0";"36,1";"3,2";"5,0";"47,1";"5,1";"23,9";"0,0";"13,0";"19,2";"0,0";"0,0";"0,0";"0,0";"0,0";"20,7";"1,1";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069004;1;01/12/2022;1;"36,6";"112,6";19;14;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"12,4";"0,0";"0,7";"0,0";"13,3";"0,0";"14,0";"0,2";"0,0";"0,0";"0,0";"1,6";"36,6";"7,9";"1,4";"15,5";"3,1";"2,3";"0,0";"0,0";"0,0";"1,2";"0,0";"0,0";"2,4";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069004;1;01/11/2022;1;"38,0";"142,3";28;14;1;1;1;;0;"24,8";"0,8";"0,7";"0,0";"0,0";"0,0";"0,0";"4,4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,7";"19,9";"0,0";"4,8";"0,0";"0,8";"0,9";"25,3";"0,0";"3,4";"0,0";"0,0";"10,7";"38,0";"6,1";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
8069004;1;01/10/2022;1;"50,7";"186,7";17;14;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"29,6";"0,0";"0,0";"0,2";"3,5";"0,0";"0,0";"0,1";"0,0";"50,7";"38,6";"1,2";"3,2";"5,1";"1,7";"0,0";"41,9";"7,5";"0,0";"0,0";"1,4";"2,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069004;1;01/09/2022;1;"55,3";"154,7";7;12;1;1;1;;0;"0,9";"0,0";"40,3";"0,4";"12,7";"3,5";"55,3";"8,5";"2,8";"1,4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"14,3";"0,0";"0,0";"0,0";"8,1";"0,0";"0,0";"0,0";"6,5";"0,0";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
8069004;1;01/08/2022;1;"67,3";"205,0";20;26;1;1;1;;0;"0,5";"4,1";"6,1";"2,5";"3,8";"0,3";"9,9";"8,6";"21,3";"23,8";"3,5";"6,8";"0,9";"0,3";"0,0";"0,2";"3,3";"0,0";"3,1";"67,3";"1,6";"0,1";"0,0";"0,0";"3,8";"8,5";"0,2";"3,1";"20,9";"0,5";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069004;1;01/07/2022;1;"30,3";"243,3";28;30;3;3;3;;0;"4,8";"13,9";"9,7";"9,8";"9,8";"1,7";"0,0";"3,3";"10,4";"5,6";"8,2";"1,2";"4,5";"7,6";"0,1";"0,3";"21,3";"1,2";"20,2";"1,5";"20,9";"6,9";"1,5";"20,3";"0,2";"0,3";"20,0";"30,3";"4,5";"1,2";"2,1";1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;3;1;3;1;1;3;1;1;3;3;1;1;1
8069004;1;01/06/2022;1;"97,5";"309,1";3;22;1;1;1;;0;"0,0";"1,1";"97,5";"0,9";"0,0";"0,0";"0,2";"33,0";"1,5";"0,0";"0,0";"0,0";"0,0";"0,0";"5,2";"25,6";"0,8";"0,1";"19,3";"0,4";"0,8";"1,2";"10,2";"6,2";"29,1";"11,2";"21,6";"15,1";"0,2";"27,9";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
8069004;1;01/05/2022;1;"81,6";"282,2";31;23;1;1;1;;0;"4,6";"0,0";"14,6";"0,0";"6,3";"4,0";"18,3";"16,3";"0,0";"0,0";"9,5";"16,7";"6,3";"10,1";"1,1";"1,0";"0,0";"34,9";"36,4";"1,6";"0,0";"1,8";"6,9";"1,8";"0,3";"1,3";"3,6";"3,2";"0,0";"0,0";"81,6";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069004;1;01/04/2022;1;"107,8";"451,1";17;24;1;1;1;;0;"3,0";"0,0";"20,6";"10,7";"5,0";"40,4";"16,0";"52,7";"0,1";"8,0";"1,3";"4,8";"1,9";"0,2";"11,4";"0,0";"107,8";"0,0";"20,7";"8,3";"0,4";"38,8";"0,0";"0,0";"26,9";"8,7";"4,9";"0,0";"12,3";"46,2";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
8069004;1;01/03/2022;1;"79,3";"399,4";29;19;1;1;1;;0;"40,3";"8,2";"39,6";"23,2";"0,0";"8,2";"14,2";"0,0";"0,0";"0,0";"0,0";"35,9";"0,0";"0,0";"0,0";"0,0";"0,0";"0,2";"0,0";"43,3";"7,0";"5,7";"17,3";"26,9";"5,9";"10,7";"6,3";"25,6";"79,3";"1,6";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069004;1;01/02/2022;1;"83,6";"318,0";16;16;1;1;1;;0;"0,0";"0,0";"0,0";"2,1";"0,0";"0,0";"0,5";"57,7";"38,9";"11,9";"12,1";"1,7";"0,0";"1,6";"3,7";"83,6";"2,0";"0,0";"3,0";"3,8";"0,0";"0,0";"0,0";"32,1";"0,0";"13,0";"0,0";"50,3";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
8069004;1;01/01/2022;1;"34,8";"162,9";19;12;1;1;1;;0;"0,0";"1,9";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"11,5";"0,0";"0,0";"0,0";"0,5";"0,0";"0,0";"31,6";"13,6";"0,0";"34,8";"14,3";"20,3";"8,4";"17,3";"1,1";"7,6";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069004;1;01/12/2021;1;"26,8";"245,8";22;25;1;1;1;;0;"14,2";"0,0";"0,9";"0,1";"1,3";"0,0";"1,6";"0,2";"8,7";"6,6";"15,3";"2,2";"21,6";"11,4";"3,9";"7,3";"9,7";"13,3";"5,1";"26,7";"6,5";"26,8";"16,1";"22,0";"0,0";"0,7";"0,0";"0,0";"0,0";"19,7";"3,9";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8069004;1;01/11/2021;1;"53,8";"263,0";23;21;1;1;1;;0;"1,1";"0,0";"34,2";"0,2";"12,5";"2,1";"34,6";"7,9";"21,4";"0,0";"6,6";"0,0";"1,1";"0,2";"0,8";"0,0";"14,9";"21,5";"0,0";"0,0";"0,0";"0,0";"53,8";"6,0";"26,1";"0,0";"9,4";"2,7";"1,8";"4,1";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
